slice,alias,plant_number,leaf_number,all,count,total_area,scan_date,notes,USDA_symbol,petiole,plot
DOHE-p1-l1,DOHE,1,1,FALSE,2,5.992,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p1-l2,DOHE,1,2,FALSE,1,6.267,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p1-l3,DOHE,1,3,FALSE,1,5.411,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p1_ALL,DOHE,1,NA,TRUE,2,10.013,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p2-l1,DOHE,2,1,FALSE,1,4.759,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p2-l2,DOHE,2,2,FALSE,1,4.549,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p2-l3,DOHE,2,3,FALSE,2,3.556,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p3-l1,DOHE,3,1,FALSE,2,10.571,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p3-l2,DOHE,3,2,FALSE,1,8.891,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p3-l3,DOHE,3,3,FALSE,1,5.321,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p3_ALL,DOHE,3,NA,TRUE,4,23.938,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p4-l1,DOHE,4,1,FALSE,1,4.755,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p4-l2,DOHE,4,2,FALSE,2,3.754,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p4-l3,DOHE,4,3,FALSE,1,2.605,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p4_ALL,DOHE,4,NA,TRUE,1,5.319,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p5-l1,DOHE,5,1,FALSE,1,6.967,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p5-l2,DOHE,5,2,FALSE,1,7.273,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p5-l3,DOHE,5,3,FALSE,1,7.782,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p6-l1,DOHE,6,1,FALSE,1,3.276,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p6-l2,DOHE,6,2,FALSE,1,2.617,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p6-l3,DOHE,6,3,FALSE,1,2.141,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p6_ALL,DOHE,6,NA,TRUE,2,3.791,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p7-l1,DOHE,7,1,FALSE,2,8.409,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p7-l2,DOHE,7,2,FALSE,2,7.061,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p7_ALL,DOHE,7,NA,TRUE,3,6.768,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p8-l1,DOHE,8,1,FALSE,1,5.752,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p8-l2,DOHE,8,2,FALSE,1,5.599,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p8-l3,DOHE,8,3,FALSE,1,5.104,2017-03-03,,DOCL,FALSE,non_plot
DOHE-p8_ALL,DOHE,8,NA,TRUE,6,24.902,2017-03-03,,DOCL,FALSE,non_plot
THCU-p9-l1,THCU,9,1,FALSE,1,0.214,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p9-l2,THCU,9,2,FALSE,1,0.213,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p9-l3,THCU,9,3,FALSE,1,0.178,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p9_ALL,THCU,9,NA,TRUE,4,0.723,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p10-l1,THCU,10,1,FALSE,1,1.207,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p10-l2,THCU,10,2,FALSE,1,1.356,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p10-l3,THCU,10,3,FALSE,1,0.806,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p10_ALL,THCU,10,NA,TRUE,6,2.946,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p11-l1,THCU,11,1,FALSE,1,0.651,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p11-l2,THCU,11,2,FALSE,1,0.619,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p11-l3,THCU,11,3,FALSE,1,0.253,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p11_ALL,THCU,11,NA,TRUE,8,2.084,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p12-l1,THCU,12,1,FALSE,1,0.915,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p12-l2,THCU,12,2,FALSE,1,0.854,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p12-l3,THCU,12,3,FALSE,1,0.513,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p12_ALL,THCU,12,NA,TRUE,12,7.717,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p13-l1,THCU,13,1,FALSE,1,1.087,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p13-l2,THCU,13,2,FALSE,1,0.684,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p13-l3,THCU,13,3,FALSE,1,0.621,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p13_ALL,THCU,13,NA,TRUE,8,5.741,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p14-l1,THCU,14,1,FALSE,1,0.735,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p14-l2,THCU,14,2,FALSE,1,0.331,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p14-l3,THCU,14,3,FALSE,1,0.252,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p14_ALL,THCU,14,NA,TRUE,7,1.967,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p15-l1,THCU,15,1,FALSE,1,0.82,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p15-l2,THCU,15,2,FALSE,1,0.376,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p15-l3,THCU,15,3,FALSE,1,0.293,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p15_ALL,THCU,15,NA,TRUE,10,3.471,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16-l1,THCU,16,1,FALSE,1,1.496,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16-l2,THCU,16,2,FALSE,1,1.344,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16-l3,THCU,16,3,FALSE,1,0.434,2017-03-03,with_petiole,THCU,TRUE,non_plot
THCU-p16_ALL,THCU,16,NA,TRUE,11,4.65,2017-03-03,with_petiole,THCU,TRUE,non_plot
THLA-p17-l1,THLA,17,1,FALSE,1,0.956,2017-03-03,with_petiole,THLA3,TRUE,non_plot
