species,USDA_symbol
ACMO,ACMO2
AGHE,AGHE2
AG2,AGHE2
Agoseris2,AGHE2
AMME,AMME
ANAR,ANAR
AVBA,AVBA
AVFA,AVFA
BOIN,BOIN3
BRDI,BRDI3
BRHO,BRHO2
CACO,CACO35
CALYSTEGIA COLLINA,CACO35
CAPY,CAPY2
CARDUUS PYCNOCEPHALA,CAPY2
CHLOROGALLUM POMERIDIANUM,CHPO3
CHPA,CHPA8
CHPO,CHPO3
Claytonia,CLPE
CLPE,CLPE
Croton,CRSE11
CROTON,CRSE11
CROTON SETIGERUS,CRSE11
DICA,DICA14
Dodecatheon,DOCL
DOHE,DOCL
ERMO,ERMO7
GAAP,GAAP2
Gilia,GIOC
GILIA,GIOC
GIOC,GIOC
LAGOPHYLLA RAMOSISSIMA,LARA
LARA,LARA
LASE,LASE
LEBI,LEBI4
LEBO,LEBI4
LEPA,LEPA51
LEPTOSIPHON,LEPA51
LESP,LEPA51
LINANTHUS,LEPA51
LOMN,LOPE
LOMU,LOPE
LOST,LOST
LOTUS2,LOST4
LUBI,LUBI
MICROSERIS,MIDO
MIDO,MIDO
NAPU,STPU2
Nassella,STPU2
SIGA,SIGA
THCU,THCU
THLA,THLA3
Thysanocarpus,THCU
TOAR,TOAR
TRAL,TRAL5
Trifolium,TRAL5
Triteliea,TRIX
Viola,VIPE3
VIPE,VIPE3
VULPIA_MYUROS,FEMY2
VUMY,FEMY2
