USDA_symbol,alias,year,count,dry_weight_total,seed_weight_g
ACAM,LOPU,2018,100,0.46861,0.0046861
ACWR,LOWR,2018,100,0.30536,0.0030536
AMME,AMME,2018,100,0.31672,0.0031672
ANAR,ANAR,2018,100,0.03634,0.0003634
BRMA,BRMA,2018,100,0.2796,0.002796
CEME,CEME,2018,100,0.17952,0.0017952
CHGL,CHGL,2018,100,0.061,0.00061
CHPA8,CHPA,2018,100,0.06174,0.0006174
CLBO,CLBO,2018,100,0.02219,0.0002219
CLPU,CLPU,2018,100,0.0466,0.000466
ERCI,ERCI,2018,100,0.1265,0.001265
EUSP,EUPE,2018,100,0.1145,0.001145
FEMI2,VUMI,2018,100,0.1256,0.001256
HECO,HECO,2018,100,0.09812,0.0009812
HOMU,HOMU,2018,100,0.6561,0.006561
LACA,LACA,2018,100,0.00937,9.37E-05
MEPO,MEPO,2018,100,0.30632,0.0030632
MICA,MICA,2018,100,0.07205,0.0007205
NAAT,NAAT,2018,90,0.1357,0.001507777778
PLER,PLER,2018,100,0.18449,0.0018449
SACO,SACO,2018,100,0.09669,0.0009669
SIGA,SIGA,2018,100,0.02576,0.0002576
URLI,URLI,2018,100,0.17331,0.0017331
