sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes.x,X,X.1,X.2,X.3,LDMC,date,Slice,Count,Total.Area,Average.Size,X.Area,Mean,notes.y,all,SLA
25,non_plot,LEBO,1,1,6,2.6,0.09284,NA,0.01151,NA,22-Mar-17,,,,,,0.12397673416630761,2017-03-22,lebo-p1-l1,1,2.209,2.209,0.34,254.977,with_petiole,FALSE,408.31792975970427
26,non_plot,LEBO,1,2,6.2,3.2,0.11487,NA,0.01394,NA,22-Mar-17,,,,,,0.12135457473665882,2017-03-22,lebo-p1-l2,1,2.906,2.906,0.447,229.623,with_petiole,FALSE,520.7885304659499
27,non_plot,LEBO,1,3,3.5,2,0.03817,NA,0.00552,NA,22-Mar-17,,,,,,0.14461619072570078,2017-03-22,lebo-p1-l3,1,1.024,1.024,0.158,254.906,with_petiole,FALSE,183.18425760286226
28,non_plot,LEBO,2,1,5.3,2.1,0.06117,NA,0.00847,NA,22-Mar-17,,,,,,0.13846656857936898,2017-03-22,lebo-p2-l1,1,1.63,1.63,0.251,229.278,with_petiole,FALSE,133.0612244897959
29,non_plot,LEBO,2,2,5,2.6,0.05843,NA,0.00822,NA,22-Mar-17,,,,,,0.1406811569399281,2017-03-22,lebo-p2-l2,1,1.402,1.402,0.216,254.987,with_petiole,FALSE,148.6744432661718
30,non_plot,LEBO,2,3,3.6,1.9,0.03672,NA,0.00553,NA,22-Mar-17,,,,,,0.150599128540305,2017-03-22,lebo-p2-l3,1,0.914,0.914,0.141,254.98,with_petiole,FALSE,70.41602465331279
31,non_plot,LEBO,3,1,6,2.6,0.07726,NA,0.00812,NA,22-Mar-17,,,,,,0.10509966347398396,2017-03-22,lebo-p3-l1,1,1.672,1.672,0.257,254.995,with_petiole,FALSE,198.81093935790722
32,non_plot,LEBO,3,2,5.5,2.5,0.07029,NA,0.00751,NA,22-Mar-17,,,,,,0.10684307867406459,2017-03-22,lebo-p3-l2,1,1.446,1.446,0.223,254.991,with_petiole,FALSE,120.29950083194676
33,non_plot,LEBO,3,3,4.8,2.6,0.05135,NA,0.00593,NA,22-Mar-17,,,,,,0.11548198636806233,2017-03-22,lebo-p3-l3,1,1.204,1.204,0.185,254.977,with_petiole,FALSE,137.12984054669704
34,non_plot,LEBO,4,1,6.2,4.6,0.0817,NA,0.00939,NA,22-Mar-17,,,,,,0.11493268053855571,2017-03-22,lebo-p4-l1,3,2.281,0.76,0.351,254.43,with_petiole,FALSE,183.95161290322582
35,non_plot,LEBO,4,2,4.6,3.4,0.0474,NA,0.00589,NA,22-Mar-17,,,,,,0.12426160337552744,2017-03-22,lebo-p4-l2,2,2.075,1.038,0.319,254.993,with_petiole,FALSE,174.81044650379107
36,non_plot,LEBO,4,3,4.8,1.9,0.04105,NA,0.00514,NA,22-Mar-17,,,,,,0.12521315468940314,2017-03-22,lebo-p4-l3,4,1.179,0.295,0.182,254.881,with_petiole,FALSE,121.671826625387
37,non_plot,LEBO,5,1,6,2.9,0.07636,NA,0.01234,NA,22-Mar-17,,,,,,0.16160293347302254,2017-03-22,lebo-p5-l1,4,1.944,0.486,0.299,254.905,with_petiole,FALSE,197.1602434077079
38,non_plot,LEBO,5,2,6.3,4,0.09576,NA,0.01408,NA,22-Mar-17,,,,,,0.1470342522974102,2017-03-22,lebo-p5-l2,1,2.428,2.428,0.374,254.957,with_petiole,FALSE,211.8673647469459
39,non_plot,LEBO,5,3,3.9,2,0.04112,NA,0.00671,NA,22-Mar-17,,,,,,0.16318093385214008,2017-03-22,lebo-p5-l3,3,1.299,0.433,0.2,243.095,with_petiole,FALSE,112.56499133448872
40,non_plot,LEBO,6,1,5.8,2.7,0.08331,NA,0.01131,NA,22-Mar-17,all leaves split across 2 scans,,,,,0.13575801224342818,2017-03-22,lebo-p6-l1,4,2.103,0.526,0.324,250.195,with_petiole,FALSE,177.76838546069317
41,non_plot,LEBO,6,2,4.9,2.5,0.0462,NA,0.00564,NA,22-Mar-17,all leaves split across 2 scans,,,,,0.12207792207792209,2017-03-22,lebo-p6-l2,1,1.277,1.277,0.197,254.996,with_petiole,FALSE,121.27255460588793
42,non_plot,LEBO,6,3,4.8,2,0.04351,NA,0.00623,NA,22-Mar-17,all leaves split across 2 scans,,,,,0.14318547460353942,2017-03-22,lebo-p6-l3,1,1.213,1.213,0.187,255,with_petiole,FALSE,104.12017167381974
43,non_plot,LEBO,7,1,6.2,2.4,0.09714,NA,0.01262,NA,22-Mar-17,,,,,,0.12991558575252213,2017-03-22,lebo-p7-l1,1,2.12,2.12,0.326,254.983,with_petiole,FALSE,145.10609171800138
44,non_plot,LEBO,7,2,5.2,2.2,0.05941,NA,0.00821,NA,22-Mar-17,,,,,,0.13819222353139204,2017-03-22,lebo-p7-l2,1,1.251,1.251,0.193,254.993,with_petiole,FALSE,92.05298013245033
45,non_plot,LEBO,7,3,4.6,2.3,0.04349,NA,0.00636,NA,22-Mar-17,,,,,,0.14624051506093355,2017-03-22,lebo-p7-l3,1,1.016,1.016,0.156,255,with_petiole,FALSE,70.90020935101187
46,non_plot,LEBO,8,1,5.5,3.3,0.10731,NA,0.0149,NA,22-Mar-17,,,,,,0.13885006057217408,2017-03-22,lebo-p8-l1,1,2.508,2.508,0.386,254.991,with_petiole,FALSE,NA
47,non_plot,LEBO,8,2,6,3.2,0.16141,NA,0.02112,NA,22-Mar-17,,,,,,0.13084691159159903,2017-03-22,lebo-p8-l2,1,3.779,3.779,0.582,235.527,with_petiole,FALSE,NA
48,non_plot,LEBO,8,3,3.8,2.2,0.05508,NA,0.00808,NA,22-Mar-17,,,,,,0.14669571532316633,2017-03-22,lebo-p8-l3,1,1.323,1.323,0.204,254.965,with_petiole,FALSE,NA
49,non_plot,GIOC,1,1,2.8,1,0.03777,NA,0.00541,NA,22-Mar-17,,,,,,0.14323537198835054,2017-03-22,gilia-p1-l1,1,0.838,0.838,0.129,251.953,with_petiole,FALSE,20.95
50,non_plot,GIOC,1,2,2.9,0.9,0.03881,NA,0.00558,NA,22-Mar-17,,,,,,0.14377737696469983,2017-03-22,gilia-p1-l2,1,0.838,0.838,0.129,251.277,with_petiole,FALSE,20.95
51,non_plot,GIOC,1,3,2.7,0.9,0.03724,NA,0.00559,NA,22-Mar-17,,,,,,0.15010741138560688,2017-03-22,gilia-p1-l3,1,0.785,0.785,0.121,249.433,with_petiole,FALSE,25.822368421052634
52,non_plot,GIOC,2,1,3.6,2.7,0.08769,NA,0.01225,NA,22-Mar-17,,,,,,0.13969665868400047,2017-03-22,gilia-p2-l1,1,1.763,1.763,0.271,254.16,with_petiole,FALSE,57.993421052631575
53,non_plot,GIOC,2,2,4,1.5,0.07328,NA,0.00943,NA,22-Mar-17,,,,,,0.12868449781659388,2017-03-22,gilia-p2-l2,1,1.433,1.433,0.221,254.675,with_petiole,FALSE,71.65
54,non_plot,GIOC,2,3,4,1.7,0.09312,NA,0.01298,NA,22-Mar-17,,,,,,0.13939003436426117,2017-03-22,gilia-p2-l3,1,1.861,1.861,0.286,250.882,with_petiole,FALSE,93.05
55,non_plot,GIOC,3,1,4.6,1.3,0.06586,NA,0.00841,NA,22-Mar-17,,,,,,0.12769511084117827,2017-03-22,gilia-p3-l1,1,1.469,1.469,0.226,250.74,with_petiole,FALSE,80.71428571428571
56,non_plot,GIOC,3,2,5.1,1.2,0.09017,NA,0.01202,NA,22-Mar-17,,,,,,0.1333037595652656,2017-03-22,gilia-p3-l2,1,2.137,2.137,0.329,249.941,with_petiole,FALSE,117.41758241758241
57,non_plot,GIOC,3,3,3.4,1.9,0.05643,NA,0.00878,NA,22-Mar-17,,,,,,0.15559099769626084,2017-03-22,gilia-p3-l3,1,1.449,1.449,0.223,248.951,with_petiole,FALSE,59.142857142857146
58,non_plot,GIOC,4,1,5.1,1.6,0.09724,NA,0.0124,NA,22-Mar-17,,,,,,0.12751953928424517,2017-03-22,gilia-p4-l1,1,1.975,1.975,0.304,251.633,with_petiole,FALSE,80.61224489795919
59,non_plot,GIOC,4,2,4.7,1.5,0.08617,NA,0.01187,NA,22-Mar-17,,,,,,0.1377509574097714,2017-03-22,gilia-p4-l2,1,1.709,1.709,0.263,245.212,with_petiole,FALSE,110.25806451612904
60,non_plot,GIOC,4,3,4.5,1.4,0.07821,NA,0.00969,NA,22-Mar-17,,,,,,0.12389719984656694,2017-03-22,gilia-p4-l3,1,1.693,1.693,0.261,242.469,with_petiole,FALSE,109.22580645161291
61,non_plot,GIOC,5,1,4.7,1.5,0.07318,NA,0.00986,NA,22-Mar-17,,,,,,0.13473626673954633,2017-03-22,gilia-p5-l1,2,1.534,0.767,0.236,254.623,with_petiole,FALSE,44.08045977011495
62,non_plot,GIOC,5,2,4.6,2,0.08162,NA,0.01146,NA,22-Mar-17,,,,,,0.1404067630482725,2017-03-22,gilia-p5-l2,2,1.758,0.879,0.271,254.55,with_petiole,FALSE,50.51724137931035
63,non_plot,GIOC,5,3,4.2,2.2,0.08055,NA,0.01154,NA,22-Mar-17,,,,,,0.14326505276225948,2017-03-22,gilia-p5-l3,2,1.936,0.968,0.298,254.973,with_petiole,FALSE,180.93457943925233
64,non_plot,GIOC,6,1,6.1,1.7,0.08934,NA,0.01183,NA,22-Mar-17,,,,,,0.1324154913812402,2017-03-22,gilia-p6-l1,2,1.865,0.932,0.287,254.779,with_petiole,FALSE,174.29906542056077
65,non_plot,GIOC,6,2,5.8,1.3,0.07435,NA,0.01053,NA,22-Mar-17,,,,,,0.14162743779421655,2017-03-22,gilia-p6-l2,2,1.577,0.789,0.243,254.91,with_petiole,FALSE,187.73809523809524
66,non_plot,GIOC,6,3,6.1,1.7,0.08741,NA,0.01165,NA,22-Mar-17,,,,,,0.13327994508637456,2017-03-22,gilia-p6-l3,2,1.871,0.936,0.288,254.746,with_petiole,FALSE,222.73809523809524
67,non_plot,GIOC,7,1,4.2,1.8,0.12189,NA,0.01461,NA,22-Mar-17,,,,,,0.1198621708097465,2017-03-22,gilia-p7-l1,2,2.628,1.314,0.405,243.945,with_petiole,FALSE,197.59398496240604
68,non_plot,GIOC,7,2,3.5,1.5,0.0948,NA,0.01359,NA,22-Mar-17,,,,,,0.14335443037974685,2017-03-22,gilia-p7-l2,2,2.169,1.085,0.334,253.074,with_petiole,FALSE,163.0827067669173
69,non_plot,GIOC,7,3,4.2,1.5,0.10846,NA,0.01433,NA,22-Mar-17,,,,,,0.13212244145307026,2017-03-22,gilia-p7-l3,2,2.283,1.142,0.351,250.291,with_petiole,FALSE,304.4
70,non_plot,GIOC,8,1,4.5,1.4,0.07636,NA,NA,NA,22-Mar-17,,,,,,NA,2017-03-22,gilia-p8-l1,1,1.475,1.475,0.227,252.385,with_petiole,FALSE,196.66666666666669
71,non_plot,GIOC,8,2,4.2,1.1,0.04819,NA,NA,NA,22-Mar-17,,,,,,NA,2017-03-22,gilia-p8-l2,6,1.043,0.174,0.161,251.469,with_petiole,FALSE,289.72222222222223
72,non_plot,GIOC,8,3,4.3,1.1,0.05164,NA,NA,NA,22-Mar-17,,,,,,NA,2017-03-22,gilia-p8-l3,1,1.047,1.047,0.161,254.188,with_petiole,FALSE,290.8333333333333
178,non_plot,CLPE,1,1,18.8,6.5,0.97673,NA,0.04,NA,24-Mar-17,Clpe == Claytonia perfoliata == miners lettuce,,,,,0.04095297574560012,2017-03-24,clpe-p1-l1,1,21.617,21.617,3.327,254.907,no_petiole,FALSE,847.7254901960786
178,non_plot,CLPE,1,1,18.8,6.5,0.97673,NA,0.04,NA,24-Mar-17,Clpe == Claytonia perfoliata == miners lettuce,,,,,0.04095297574560012,2017-03-24,clpe-p1-l1,3,25.432,8.477,3.915,252.926,with_petiole,FALSE,997.3333333333334
179,non_plot,CLPE,1,2,17.9,5.8,0.81484,NA,0.0304,NA,24-Mar-17,,,,,,0.03730793775465122,2017-03-24,clpe-p1-l2,1,18.621,18.621,2.866,254.933,no_petiole,FALSE,655.669014084507
179,non_plot,CLPE,1,2,17.9,5.8,0.81484,NA,0.0304,NA,24-Mar-17,,,,,,0.03730793775465122,2017-03-24,clpe-p1-l2,4,22.455,5.614,3.456,254.413,with_petiole,FALSE,790.6690140845069
180,non_plot,CLPE,1,3,17.4,5.6,0.46777,NA,0.02,NA,24-Mar-17,,,,,,0.04275605532633559,2017-03-24,clpe-p1-l3,1,10,10,1.539,254.994,no_petiole,FALSE,675.6756756756756
180,non_plot,CLPE,1,3,17.4,5.6,0.46777,NA,0.02,NA,24-Mar-17,,,,,,0.04275605532633559,2017-03-24,clpe-p1-l3,5,12.532,2.506,1.929,250.876,with_petiole,FALSE,846.7567567567568
181,non_plot,CLPE,2,1,12.1,4.5,0.40701,NA,0.0182,NA,24-Mar-17,,,,,,0.04471634603572394,2017-03-24,clpe-p2-l1,1,9.565,9.565,1.472,254.999,no_petiole,FALSE,237.34491315136475
181,non_plot,CLPE,2,1,12.1,4.5,0.40701,NA,0.0182,NA,24-Mar-17,,,,,,0.04471634603572394,2017-03-24,clpe-p2-l1,3,11.369,3.79,1.75,254.041,with_petiole,FALSE,282.1091811414392
182,non_plot,CLPE,2,2,13.8,4.7,0.55611,NA,0.0245,NA,24-Mar-17,,,,,,0.04405603207998418,2017-03-24,clpe-p2-l2,1,12.43,12.43,1.913,255,no_petiole,FALSE,404.885993485342
182,non_plot,CLPE,2,2,13.8,4.7,0.55611,NA,0.0245,NA,24-Mar-17,,,,,,0.04405603207998418,2017-03-24,clpe-p2-l2,3,14.897,4.966,2.293,254.708,with_petiole,FALSE,485.2442996742671
183,non_plot,CLPE,2,3,11.6,3.6,0.33044,NA,0.0155,NA,24-Mar-17,,,,,,0.04690715409756688,2017-03-24,clpe-p2-l3,1,7.405,7.405,1.14,254.933,no_petiole,FALSE,228.5493827160494
183,non_plot,CLPE,2,3,11.6,3.6,0.33044,NA,0.0155,NA,24-Mar-17,,,,,,0.04690715409756688,2017-03-24,clpe-p2-l3,3,8.95,2.983,1.378,252.57,with_petiole,FALSE,276.2345679012346
184,non_plot,CLPE,3,1,15.6,5.8,0.81852,NA,0.0348,NA,24-Mar-17,,,,,,0.04251576015247031,2017-03-24,clpe-p3-l1,1,17.801,17.801,2.74,254.998,no_petiole,FALSE,1798.0808080808079
184,non_plot,CLPE,3,1,15.6,5.8,0.81852,NA,0.0348,NA,24-Mar-17,,,,,,0.04251576015247031,2017-03-24,clpe-p3-l1,3,21.099,7.033,3.248,254.726,with_petiole,FALSE,2131.212121212121
185,non_plot,CLPE,3,2,11.8,3.6,0.26432,NA,0.0107,NA,24-Mar-17,,,,,,0.040481234866828086,2017-03-24,clpe-p3-l2,1,6.076,6.076,0.935,254.996,no_petiole,FALSE,148.55745721271393
185,non_plot,CLPE,3,2,11.8,3.6,0.26432,NA,0.0107,NA,24-Mar-17,,,,,,0.040481234866828086,2017-03-24,clpe-p3-l2,3,7.613,2.538,1.172,254.706,with_petiole,FALSE,186.13691931540345
186,non_plot,CLPE,3,3,10.3,3,0.20406,NA,0.0084,NA,24-Mar-17,,,,,,0.04116436342252279,2017-03-24,clpe-p3-l3,1,4.78,4.78,0.736,254.98,no_petiole,FALSE,152.71565495207668
186,non_plot,CLPE,3,3,10.3,3,0.20406,NA,0.0084,NA,24-Mar-17,,,,,,0.04116436342252279,2017-03-24,clpe-p3-l3,3,5.905,1.968,0.909,253.071,with_petiole,FALSE,188.65814696485623
187,non_plot,CLPE,4,1,12.1,3.6,0.34799,NA,0.0133,NA,24-Mar-17,,,,,,0.03821948906577775,2017-03-24,clpe-p4-l1,1,8.23,8.23,1.267,254.996,no_petiole,FALSE,799.0291262135922
187,non_plot,CLPE,4,1,12.1,3.6,0.34799,NA,0.0133,NA,24-Mar-17,,,,,,0.03821948906577775,2017-03-24,clpe-p4-l1,4,10.054,2.514,1.548,253.683,with_petiole,FALSE,976.1165048543689
188,non_plot,CLPE,4,2,11.6,2.8,0.22342,NA,0.0075,NA,24-Mar-17,,,,,,0.03356906275176797,2017-03-24,clpe-p4-l2,1,4.555,4.555,0.701,254.993,no_petiole,FALSE,220.04830917874395
188,non_plot,CLPE,4,2,11.6,2.8,0.22342,NA,0.0075,NA,24-Mar-17,,,,,,0.03356906275176797,2017-03-24,clpe-p4-l2,3,5.857,1.952,0.901,254.405,with_petiole,FALSE,282.94685990338166
189,non_plot,CLPE,4,3,8.1,1.8,0.09329,NA,0.0036,NA,24-Mar-17,,,,,,0.03858934505306035,2017-03-24,clpe-p4-l3,1,1.885,1.885,0.29,254.99,no_petiole,FALSE,85.68181818181819
189,non_plot,CLPE,4,3,8.1,1.8,0.09329,NA,0.0036,NA,24-Mar-17,,,,,,0.03858934505306035,2017-03-24,clpe-p4-l3,3,2.47,0.823,0.38,253.653,with_petiole,FALSE,112.2727272727273
190,non_plot,CLPE,5,1,12.5,4.6,0.37841,NA,0.019,NA,24-Mar-17,,,,,,0.05021008958537036,2017-03-24,clpe-p5-l1,1,9.449,9.449,1.454,255,no_petiole,FALSE,935.5445544554456
190,non_plot,CLPE,5,1,12.5,4.6,0.37841,NA,0.019,NA,24-Mar-17,,,,,,0.05021008958537036,2017-03-24,clpe-p5-l1,3,11.298,3.766,1.739,254.119,with_petiole,FALSE,1118.6138613861388
191,non_plot,CLPE,5,2,11.9,4.7,0.40876,NA,0.0194,NA,24-Mar-17,,,,,,0.0474606125844016,2017-03-24,clpe-p5-l2,1,9.702,9.702,1.493,254.999,no_petiole,FALSE,718.6666666666666
191,non_plot,CLPE,5,2,11.9,4.7,0.40876,NA,0.0194,NA,24-Mar-17,,,,,,0.0474606125844016,2017-03-24,clpe-p5-l2,3,11.659,3.886,1.795,254.172,with_petiole,FALSE,863.6296296296297
192,non_plot,CLPE,5,3,11.1,3.5,0.25102,NA,0.0127,NA,24-Mar-17,,,,,,0.05059357820094016,2017-03-24,clpe-p5-l3,1,6.016,6.016,0.926,255,no_petiole,FALSE,376
192,non_plot,CLPE,5,3,11.1,3.5,0.25102,NA,0.0127,NA,24-Mar-17,,,,,,0.05059357820094016,2017-03-24,clpe-p5-l3,3,7.346,2.449,1.131,253.516,with_petiole,FALSE,459.125
193,non_plot,CLPE,6,1,11.8,4.9,0.47869,NA,0.0167,NA,24-Mar-17,,,,,,0.03488687877331885,2017-03-24,clpe-p6-l1,2,11.318,5.659,1.742,254.963,no_petiole,FALSE,571.6161616161615
193,non_plot,CLPE,6,1,11.8,4.9,0.47869,NA,0.0167,NA,24-Mar-17,,,,,,0.03488687877331885,2017-03-24,clpe-p6-l1,4,13.318,3.329,2.05,252.334,with_petiole,FALSE,672.6262626262626
