plot,species,plant_number,total_length_cm,id,datetime,dry_weight,notes,SRL
749,AGHE,5,114.805,749-AGHE-5,2018-01-31T22:31:45Z,0.0057,NA,20141.22807017544
751,AGHE,1,23.6888,751-AGHE-1,2018-01-31T22:49:55Z,0.0066,NA,3589.2121212121215
751,AGHE,2,18.2884,751-AGHE-2,2018-01-31T22:53:34Z,0.0028,NA,6531.571428571428
753,AMME,1,69.0893,plot-753-amme-1,2017-11-15T23:48:37Z,0.028,NA,2467.475
757,AGHE,1,12.2649,757-AGHE-1,2018-01-31T23:01:16Z,0.0021,NA,5840.4285714285725
757,AGHE,2,34.7543,757-AGHE-2,2018-01-31T22:39:39Z,0.0079,NA,4399.278481012658
757,AGHE,5,25.9976,757-AGHE-5,2018-01-31T22:57:58Z,0.0058,NA,4482.3448275862065
761,AGHE,2,9.9232,761-AGHE-2,2018-01-31T23:05:34Z,0.0019,NA,5222.736842105263
non_plot,ACMO,1,12.8189,ACMO-1,2017-12-13T23:20:13Z,7e-4,NA,18312.714285714286
non_plot,ACMO,2,35.4793,ACMO-2,2017-12-13T23:27:09Z,0.0065,NA,5458.3538461538465
non_plot,ACMO,3,66.9573,ACMO-3,2017-12-13T23:34:17Z,0.0184,NA,3638.983695652174
non_plot,ACMO,4,29.2256,ACMO-4,2017-12-13T23:46:58Z,0.0075,NA,3896.746666666667
non_plot,ACMO,5,26.8271,ACMO-5,2017-12-13T23:52:21Z,0.0081,NA,3311.987654320988
non_plot,ACMO,6,12.5818,ACMO-6,2017-12-14T00:01:28Z,0.0045,NA,2795.9555555555557
non_plot,ACMO,7,13.397,ACMO-7,2017-12-14T00:07:22Z,0.0028,NA,4784.642857142857
non_plot,ACMO,8,11.5134,ACMO-8,2017-12-14T00:13:28Z,0.0016,NA,7195.875
non_plot,ANAR,1,19.1396,ANAR-1,2017-12-01T19:39:16Z,0.0033,NA,5799.878787878788
non_plot,ANAR,2,54.8036,ANAR-2,2017-12-01T19:50:27Z,0.006,NA,9133.933333333334
non_plot,ANAR,3,45.7103,ANAR-3,2017-12-01T19:55:55Z,0.0063,NA,7255.603174603174
non_plot,ANAR,4,61.3059,ANAR-4,2017-12-01T20:04:38Z,0.0116,NA,5284.991379310345
non_plot,ANAR,5,36.9346,ANAR-5,2017-12-01T20:15:09Z,0.0044,NA,8394.227272727272
non_plot,ANAR,6,122.4704,ANAR-6,2017-12-01T20:22:20Z,0.017,NA,7204.141176470587
non_plot,ANAR,7,74.418,ANAR-7,2017-12-01T20:34:24Z,0.0096,NA,7751.875000000001
non_plot,ANAR,7,84.5615,ANAR-7,2017-12-01T20:32:18Z,0.0096,NA,8808.489583333334
non_plot,ANAR,8,53.0677,ANAR-8,2017-12-01T20:38:05Z,0.0069,NA,7690.971014492754
non_plot,BOIN,1,155.2429,BOIN-1,2017-11-30T23:23:34Z,0.0045,NA,34498.42222222222
non_plot,BOIN,2,186.3082,BOIN-2,2017-11-30T23:46:43Z,0.0053,NA,35152.49056603773
non_plot,BOIN,3,102.4387,BOIN-3,2017-12-01T00:02:25Z,0.0077,NA,13303.727272727272
non_plot,BOIN,4,75.9619,BOIN-4,2017-12-01T00:11:07Z,0.006,NA,12660.316666666666
non_plot,BOIN,5,39.067,BOIN-5,2017-12-01T00:23:42Z,0.0042,NA,9301.666666666668
non_plot,BOIN,6,175.5107,BOIN-6,2017-12-01T00:34:51Z,0.0131,NA,13397.763358778626
non_plot,BOIN,7,55.8518,BOIN-7,2017-12-01T00:40:27Z,0.0053,NA,10538.075471698112
non_plot,BOIN,8,87.1257,BOIN-8,2017-12-01T00:46:09Z,0.0059,NA,14767.067796610168
non_plot,BRDI,1,278.2747,BRDI-1,2017-12-01T00:58:41Z,0.0451,NA,6170.170731707317
non_plot,BRDI,2,172.9272,BRDI-2,2017-12-01T18:14:49Z,0.0403,NA,4290.997518610421
non_plot,BRDI,3,353.1026,BRDI-3,2017-12-01T18:29:05Z,0.0768,NA,4597.690104166667
non_plot,BRDI,4,105.2628,BRDI-4,2017-12-01T18:45:25Z,0.0321,NA,3279.214953271028
non_plot,BRDI,5,300.2745,BRDI-5,2017-12-01T18:52:44Z,0.0687,NA,4370.807860262009
non_plot,BRDI,5,317.2134,BRDI-5,2017-12-01T18:56:48Z,0.0687,NA,4617.371179039301
non_plot,BRDI,6,93.0381,BRDI-6,2017-12-01T19:07:05Z,0.0252,NA,3691.9880952380954
non_plot,BRDI,7,339.2161,BRDI-7,2017-12-01T19:17:34Z,0.0671,NA,5055.381520119225
non_plot,BRDI,8,246.5514,BRDI-8,2017-12-01T19:26:58Z,0.0486,NA,5073.074074074075
non_plot,BRHO,1,54.3042,brho-1,2017-12-06T21:43:22Z,0.0047,NA,11554.085106382978
non_plot,BRHO,2,167.1893,brho-2,2017-12-06T21:48:09Z,0.0068,NA,24586.661764705885
non_plot,BRHO,3,73.1204,brho-3,2017-12-06T21:51:36Z,0.0057,NA,12828.140350877193
non_plot,BRHO,4,120.4175,brho-4,2017-12-06T21:56:27Z,0.0178,NA,6765.028089887641
non_plot,BRHO,5,57.309,brho-5,2017-12-06T22:01:39Z,0.0076,NA,7540.657894736842
non_plot,BRHO,6,223.6528,brho-6,2017-12-06T22:05:53Z,0.0134,NA,16690.507462686568
non_plot,BRHO,7,205.8581,brho-7,2017-12-06T22:09:19Z,0.0202,NA,10190.99504950495
non_plot,BRHO,8,103.3078,brho-8,2017-12-06T22:12:52Z,0.0076,NA,13593.131578947368
non_plot,CACO,1,8.851,CACO-1,2017-12-01T23:29:56Z,0.0037,NA,2392.162162162162
non_plot,CACO,2,63.6426,CACO-2,2017-12-01T23:34:25Z,0.0122,NA,5216.606557377049
non_plot,CACO,3,20.2941,CACO-3,2017-12-01T23:37:50Z,0.0095,NA,2136.221052631579
non_plot,CACO,4,56.3506,CACO-4,2017-12-01T23:44:47Z,0.0202,NA,2789.633663366337
non_plot,CACO,5,52.818,CACO-5,2017-12-01T23:50:03Z,0.0243,NA,2173.58024691358
non_plot,CACO,6,3.6654,CACO-6,2017-12-01T23:54:16Z,6e-4,NA,6109.000000000001
non_plot,CACO,7,20.138,CACO-7,2017-12-01T23:58:55Z,0.0105,NA,1917.904761904762
non_plot,CACO,8,40.2357,CACO-8,2017-12-02T00:02:39Z,0.0192,NA,2095.6093750000005
non_plot,CHPA,1,27.9063,CHPA - 1,2018-01-31T20:22:03Z,0.0058,NA,4811.431034482759
non_plot,CHPA,2,25.5004,CHPA - 2,2018-01-31T20:16:32Z,0.0021,NA,12143.04761904762
non_plot,CHPA,3,69.0582,CHPA - 3,2018-01-31T20:34:02Z,0.0321,NA,2151.3457943925237
non_plot,CHPA,4,43.3525,CHPA -4,2018-01-31T20:09:40Z,0.0082,NA,5286.890243902439
non_plot,CHPA,5,73.0495,CHPA -5,2018-01-31T20:01:52Z,0.0124,NA,5891.0887096774195
non_plot,CHPA,6,12.5026,CHPA - 6,2018-01-31T20:52:00Z,0.0011,NA,11365.999999999998
non_plot,CHPA,7,22.6219,CHPA - 7,2018-01-31T20:38:49Z,0.0053,NA,4268.2830188679245
non_plot,CHPA,8,54.8922,CHPA - 8,2018-01-31T20:45:17Z,0.0071,NA,7731.295774647887
non_plot,GAAP,1,79.137,GAAP-1,2017-11-15T22:41:28Z,0.01,NA,7913.7
non_plot,GAAP,2,102.1455,GAAP-2,2017-11-15T22:12:59Z,0.0189,NA,5404.523809523809
non_plot,GAAP,4,79.5569,GAAP-4,2017-11-15T22:48:29Z,0.0149,NA,5339.3892617449665
non_plot,GAAP,5,77.0544,GAAP-5,2017-11-15T22:55:46Z,0.0134,NA,5750.328358208955
non_plot,GAAP,6,110.3148,GAAP-6,2017-11-15T23:07:50Z,0.0133,NA,8294.345864661655
non_plot,GAAP,7,69.6779,GAAP-7,2017-11-15T23:15:27Z,0.0126,NA,5529.992063492063
non_plot,GAAP,7,79.9189,GAAP-7,2017-11-15T23:20:48Z,0.0126,NA,6342.769841269841
non_plot,GAAP,8,159.458,GAAP-8,2017-11-15T23:40:23Z,0.0124,NA,12859.516129032258
non_plot,LARA,1,3.3782,lara-1,2017-12-06T22:48:05Z,0.0032,NA,1055.6875
non_plot,LARA,8,22.9809,LARA-8,2018-01-26T22:42:23Z,0.0032,NA,7181.531249999999
non_plot,LASE,2,55.4517,LASE-2,2018-01-26T22:30:15Z,0.007,NA,7921.671428571429
non_plot,LASE,5,43.9217,LASE-5,2018-01-26T22:38:05Z,0.0034,NA,12918.14705882353
non_plot,LASE,6,94.5606,LASE-6,2018-01-26T22:57:49Z,0.0065,NA,14547.784615384615
non_plot,LASE,7,27.3903,LASE-7,2018-01-26T22:47:45Z,0.001,NA,27390.3
non_plot,LASE,8,28.2955,LASE-8,2018-01-26T23:05:22Z,0.0011,NA,25723.181818181816
non_plot,LEBO,1,65.9639,LEBO-1,2017-12-01T22:26:07Z,0.0215,NA,3068.0883720930233
non_plot,LEBO,1,77.1507,LEBO-1,2017-12-01T22:15:52Z,0.0215,NA,3588.404651162791
non_plot,LEBO,1,67.6884,LEBO-1,2017-12-01T22:19:40Z,0.0215,NA,3148.297674418605
non_plot,LEBO,2,70.8626,LEBO-2,2017-12-01T22:29:21Z,0.0043,NA,16479.674418604653
non_plot,LEBO,2,67.3448,LEBO-2,2017-12-01T22:34:37Z,0.0043,NA,15661.58139534884
non_plot,LEBO,3,72.0358,LEBO-3,2017-12-01T22:42:19Z,0.0083,NA,8679.01204819277
non_plot,LEBO,4,31.3843,LEBO-4,2017-12-01T22:46:18Z,0.005,NA,6276.86
non_plot,LEBO,5,116.1418,LEBO-5,2017-12-01T22:52:45Z,0.0095,NA,12225.452631578948
non_plot,LEBO,6,14.115,LEBO-6,2017-12-01T22:59:32Z,0.0097,NA,1455.1546391752577
non_plot,LEBO,7,43.5008,LEBO-7,2017-12-01T23:05:26Z,0.0098,NA,4438.857142857143
non_plot,LEBO,8,40.8773,LEBO-8,2017-12-01T23:11:55Z,0.0033,NA,12387.060606060606
non_plot,LESP,1,31.8323,LESP-1,2017-12-01T21:32:41Z,0.0018,NA,17684.611111111113
non_plot,LESP,2,8.203,LESP-2,2017-12-01T21:37:28Z,0.0017,NA,4825.294117647059
non_plot,LESP,3,31.6268,LESP-3,2017-12-01T21:41:32Z,0.0022,NA,14375.81818181818
non_plot,LESP,4,35.6128,LESP-4,2017-12-01T21:47:50Z,0.0022,NA,16187.636363636362
non_plot,LESP,5,18.1211,LESP-5,2017-12-01T21:53:39Z,0.0014,NA,12943.642857142857
non_plot,LESP,6,15.7772,LESP-6,2017-12-01T21:57:56Z,0.0021,NA,7512.952380952382
non_plot,LESP,7,44.2272,LESP-7,2017-12-01T22:04:06Z,0.003,NA,14742.400000000001
non_plot,LESP,8,11.0927,LESP-8,2017-12-01T22:10:16Z,0.0015,NA,7395.133333333333
non_plot,LOMU,1,143.0333,LOMU-1,2017-12-13T22:04:28Z,0.0249,NA,5744.309236947792
non_plot,LOMU,2,150.7644,LOMU-2,2017-12-13T21:57:41Z,0.0188,NA,8019.3829787234035
non_plot,LOMU,3,91.5108,LOMU-3,2017-12-13T21:46:58Z,0.0193,NA,4741.4922279792745
non_plot,LOMU,4,168.8206,LOMU-4,2017-12-13T21:40:49Z,0.0311,NA,5428.315112540194
non_plot,LOMU,5,237.688,LOMU-5,2017-12-12T22:43:18Z,0.0531,NA,4476.23352165725
non_plot,LOMU,6,71.3623,LOMU-6,2017-12-12T22:34:46Z,0.011,NA,6487.481818181819
non_plot,LOMU,7,195.8081,LOMU-7,2017-12-12T22:27:41Z,0.0323,NA,6062.17027863777
non_plot,LOMU,8,141.8168,LOMU-8,2017-12-12T22:15:35Z,0.0154,NA,9208.883116883117
non_plot,LOTUS2,1,11.7286,lotus2-1,2017-12-06T22:55:01Z,0.0058,NA,2022.1724137931037
non_plot,LOTUS2,2,5.0518,lotus2-2,2017-12-06T22:58:08Z,0.0053,NA,953.1698113207548
non_plot,LOTUS2,3,50.3696,lotus2-3,2017-12-06T23:01:04Z,0.0063,NA,7995.1746031746025
non_plot,LOTUS2,5,8.0718,lotus2-5,2017-12-06T23:05:13Z,0.0045,NA,1793.7333333333333
non_plot,LOTUS2,6,10.6497,lotus2-6,2017-12-06T23:07:41Z,0.003,NA,3549.8999999999996
non_plot,LOTUS2,7,14.068,lotus2-7,2017-12-06T23:10:31Z,0.0051,NA,2758.431372549019
non_plot,LOTUS2,8,25.3281,lotus2-8,2017-12-06T23:13:23Z,0.007,NA,3618.2999999999997
non_plot,MIDO,1,48.8269,MIDO-1,2017-12-01T20:51:19Z,0.0055,NA,8877.618181818183
non_plot,MIDO,2,71.0278,MIDO-2,2017-12-01T20:57:20Z,0.0085,NA,8356.211764705882
non_plot,MIDO,3,39.4137,MIDO-3,2017-12-01T21:08:01Z,0.0043,NA,9165.976744186046
non_plot,MIDO,4,21.3123,MIDO-4,2017-12-01T21:12:12Z,0.0068,NA,3134.1617647058824
non_plot,MIDO,5,32.9685,MIDO-5,2017-12-01T21:16:01Z,0.0079,NA,4173.227848101265
non_plot,MIDO,6,65.6347,MIDO-6,2017-12-01T21:19:03Z,0.0096,NA,6836.947916666667
non_plot,MIDO,7,68.4324,MIDO-7,2017-12-01T21:22:44Z,0.0071,NA,9638.366197183099
non_plot,MIDO,8,33.9096,MIDO-8,2017-12-01T21:26:17Z,0.0036,NA,9419.333333333332
non_plot,NAPU,1,236.3597,NAPU-1,2017-12-06T01:23:01Z,0.1413,NA,1672.7508846426042
non_plot,NAPU,1,235.6738,NAPU-1,2017-12-06T01:25:36Z,0.1413,NA,1667.8966737438075
non_plot,NAPU,2,88.1848,napu-2,2017-12-06T20:30:26Z,0.0666,NA,1324.0960960960958
non_plot,NAPU,4,92.9017,napu-4,2017-12-06T20:35:57Z,0.0898,NA,1034.5400890868598
non_plot,NAPU,5,138.3304,napu-5,2017-12-06T20:46:35Z,0.1004,NA,1377.7928286852589
non_plot,NAPU,6,219.5883,napu-6,2017-12-06T20:56:54Z,0.1379,NA,1592.3734590282816
non_plot,NAPU,7,111.7471,napu-7,2017-12-06T21:27:51Z,0.0764,NA,1462.658376963351
non_plot,NAPU,8,349.5533,napu-8,2017-12-06T21:35:01Z,0.0797,NA,4385.863237139272
non_plot,NAPU,8,200.2477,napu-8,2017-12-06T21:38:13Z,0.0797,NA,2512.518193224593
non_plot,SIGA,1,34.5285,SIGA-1,2017-12-06T00:10:11Z,0.0056,NA,6165.803571428572
non_plot,SIGA,2,129.166,SIGA-2,2017-12-06T00:22:34Z,0.0132,NA,9785.30303030303
non_plot,SIGA,3,120.1373,SIGA-3,2017-12-06T00:32:27Z,0.0193,NA,6224.730569948186
non_plot,SIGA,4,183.6221,SIGA-4,2017-12-06T00:38:33Z,0.0263,NA,6981.828897338402
non_plot,SIGA,5,40.7886,SIGA-5,2017-12-06T00:44:51Z,0.0076,NA,5366.921052631579
non_plot,SIGA,6,110.863,SIGA-6,2017-12-06T00:52:00Z,0.0196,NA,5656.275510204082
non_plot,SIGA,7,166.7471,SIGA-7,2017-12-06T01:01:14Z,0.0228,NA,7313.469298245614
non_plot,SIGA,8,51.1543,SIGA-8,2017-12-06T01:07:56Z,0.0037,NA,13825.486486486485
non_plot,TOAR,1,404.0766,TOAR-1,2017-11-16T19:25:38Z,0.0144,NA,28060.875
non_plot,TOAR,1,374.1865,TOAR-1,2017-11-16T19:33:14Z,0.0144,NA,25985.173611111113
non_plot,TOAR,1,564.4111,TOAR-1,2017-11-17T21:25:09Z,0.0144,NA,39195.21527777778
non_plot,TOAR,1,432.9208,TOAR-1,2017-11-16T19:46:00Z,0.0144,NA,30063.944444444445
non_plot,TOAR,1,689.1975,TOAR-1,2017-11-16T21:05:35Z,0.0144,NA,47860.9375
non_plot,TOAR,1,731.0554,TOAR-1,2017-11-16T21:02:23Z,0.0144,NA,50767.73611111111
non_plot,TOAR,2,264.6847,TOAR-2,2017-11-16T21:33:19Z,0.0078,NA,33933.9358974359
non_plot,TOAR,2,287.0496,TOAR-2,2017-11-16T21:40:00Z,0.0078,NA,36801.23076923077
non_plot,TOAR,3,87.3096,TOAR-3,2017-11-30T20:56:12Z,0.019,NA,4595.242105263158
non_plot,TOAR,4,111.0324,TOAR-4,2017-11-30T21:11:41Z,0.0091,NA,12201.362637362636
non_plot,TOAR,5,148.9493,TOAR-5,2017-11-30T21:22:56Z,0.009,NA,16549.922222222223
non_plot,TOAR,6,285.5629,TOAR-6,2017-11-30T21:39:07Z,0.0088,NA,32450.329545454544
non_plot,TOAR,7,386.5408,TOAR-7,2017-11-30T21:53:13Z,0.0282,NA,13707.120567375887
non_plot,TOAR,8,368.5161,TOAR-8,2017-11-30T23:11:37Z,0.0106,NA,34765.66981132075
non_plot,TRAL,1,17.7973,tral-1,2017-12-06T22:19:07Z,0.0084,NA,2118.7261904761904
non_plot,TRAL,2,19.9991,tral-2,2017-12-06T22:24:37Z,0.0122,NA,1639.2704918032784
non_plot,TRAL,3,29.3085,tral-3,2017-12-06T22:27:52Z,0.0039,NA,7515
non_plot,TRAL,4,39.3374,tral-4,2017-12-06T22:30:57Z,0.0148,NA,2657.9324324324325
non_plot,TRAL,5,5.8822,tral-5,2017-12-06T22:34:03Z,0.0038,NA,1547.9473684210527
non_plot,TRAL,6,17.3362,tral-6,2017-12-06T22:36:06Z,0.0034,NA,5098.8823529411775
non_plot,TRAL,7,11.3651,tral-7,2017-12-06T22:38:33Z,0.0038,NA,2990.815789473684
non_plot,TRAL,8,22.6014,tral-8,2017-12-06T22:40:56Z,0.0101,NA,2237.762376237624
non_plot,VUMY,1,71.9237,VUMY-1,2017-12-13T22:16:14Z,0.0074,NA,9719.418918918918
non_plot,VUMY,2,25.4288,VUMY-2,2017-12-13T22:23:33Z,0.0017,NA,14958.117647058823
non_plot,VUMY,3,63.8103,VUMY-3,2017-12-13T22:30:13Z,0.0031,NA,20583.967741935485
non_plot,VUMY,4,352.0494,VUMY-4,2017-12-13T22:37:30Z,0.0191,NA,18431.905759162306
non_plot,VUMY,5,196.4045,VUMY-5,2017-12-13T22:43:29Z,0.0134,NA,14657.05223880597
non_plot,VUMY,6,82.1884,VUMY-6,2017-12-13T22:51:43Z,0.007,NA,11741.2
non_plot,VUMY,7,202.9633,VUMY-7,2017-12-13T22:59:04Z,0.0142,NA,14293.19014084507
non_plot,VUMY,7,117.2965,VUMY-7,2017-12-13T23:02:43Z,0.0142,NA,8260.31690140845
non_plot,VUMY,8,79.7492,VUMY-8,2017-12-13T23:09:54Z,0.007,NA,11392.742857142857
