sequence,date_collected,date_measured,operator,species,individual,leaf,reading,final_diff,percent_disc,notes
1,4/11/2017,4/13/2017,Gaurav,LACA,1,1,608,,25,
2,4/11/2017,4/13/2017,Gaurav,LACA,1,2,621,,25,
3,4/11/2017,4/13/2017,Gaurav,LACA,2,1,556,,25,
4,4/11/2017,4/13/2017,Gaurav,LACA,2,2,571,,25,
5,4/11/2017,4/13/2017,Gaurav,LACA,3,1,361,,25,
6,4/11/2017,4/13/2017,Gaurav,LACA,4,1,439,15,25,
7,4/11/2017,4/13/2017,Gaurav,LACA,4,2,450,,25,
8,4/11/2017,4/13/2017,Gaurav,LACA,4,3,439,,25,
9,4/19/2017,4/21/2017,Gaurav and Ian,MICA,1,1,295,,30,"MICA leaves densely covered with hairs, like Lamb's Ears (Stachys byzantina)"
10,4/19/2017,4/21/2017,Gaurav and Ian,MICA,3,1,394,,30,
11,4/19/2017,4/21/2017,Ian,MICA,2,1,452,,30,"Took a long time to get into the osmometer, but value seems ok (not very high)"
12,4/19/2017,4/21/2017,Gaurav and Ian,MICA,1,2,267,,30,Some MICA shrivel up in the osmomter 
13,4/19/2017,4/21/2017,Gaurav and Ian,MICA,3,2,356,,30,
14,4/19/2017,4/21/2017,Gaurav and Ian,MICA,4,1,481,,30,"Started high at 1145, took 10 to get to final value, but was within 4 of the last one "
15,4/19/2017,4/21/2017,Gaurav and Ian,MICA,2,2,371,,30,
16,4/19/2017,4/21/2017,Gaurav and Ian,AGHE,1,1,364,,100,"No midrib, whole puch as leaves are large "
17,4/19/2017,4/21/2017,Gaurav and Ian,AGHE,1,2,369,,100,"No midrib, whole puch as leaves are large "
18,4/19/2017,4/21/2017,Ian,MICA,4,2,479,,30,
19,4/19/2017,4/21/2017,Ian,AGHE,2,1,341,,90,"Punched through midrib, but vein is small"
20,4/19/2017,4/21/2017,Ian,AGHE,2,2,416,9,30,Took part of a thin projection off the midrib 
21,4/19/2017,4/21/2017,Ian,AGHE,3,2,408,,20,Took part of a thin projection off the midrib 
22,4/19/2017,4/21/2017,Ian,AGHE,4,1,269,,40,Took part of a thin projection off the midrib 
23,4/19/2017,4/21/2017,Ian,AGHE,3,1,332,,30,Took part of a thin projection off the midrib 
24,4/19/2017,4/21/2017,Ian,AGHE,4,2,304,,60,Took part of a thin projection off the midrib 
25,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,3,1,641,,100,
26,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,3,2,673,,100,Took a little long to get into osmomter 
27,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,2,1,560,,100,"After this sample a leaf disc got stuck somewhere outside the chamber, might have a piece in the chamber? "
28,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,4,2,610,,97,"[3 May 2017, piece of leaf was stuck inside the outer silver part]"
29,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,1,1,623,,100,[Camilla said this was fine as the inner part is where this would have affected things]
30,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,2,2,555,,100,
31,4/27/2017,4/28/2017,Gaurav and Ian,EUPE,1,2,613,,100,
32,4/27/2017,4/28/2017,Gaurav and Ian,ANAR,4,1,363,,100,
33,4/27/2017,4/28/2017,Gaurav and Ian,ANAR,3,1,390,,100,
