plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes
760,mepo,5,1,1.5,2,0.04358,0.00663,,,26-Apr-2017,using only ¼ of plant
760,mepo,5,2,2,2.6,0.05517,0.00537,,,26-Apr-2017,
760,mepo,5,3,1.8,2.4,0.03935,0.00463,,,26-Apr-2017,
760,mepo,4,1,2.2,1.6,0.03271,0.00452,,,26-Apr-2017,using only ¼ of plant
760,mepo,4,2,1.2,1.7,0.01673,0.0024,,,26-Apr-2017,
760,mepo,4,3,1.5,2.2,0.03706,0.00412,,,26-Apr-2017,
760,mepo,3,1,1.8,2.6,0.04391,0.00476,,,26-Apr-2017,using only ¼ of plant
760,mepo,3,2,1.5,2.2,0.04137,0.00814,,,26-Apr-2017,
760,mepo,3,3,1.8,2.6,0.04453,0.00457,,,26-Apr-2017,
760,mepo,2,1,2,2.4,0.03581,0.00388,,,26-Apr-2017,using only ¼ of plant
760,mepo,2,2,1.5,2.2,0.03325,0.00356,,,26-Apr-2017,
760,mepo,2,3,1,1.2,0.01284,0.00242,,,26-Apr-2017,
760,mepo,1,1,1.3,2,0.03916,0.00506,,,26-Apr-2017,using only 1/5 of plant
760,mepo,1,2,1.7,2.4,0.05183,0.00585,,,26-Apr-2017,
760,mepo,1,3,1.2,1.8,0.02548,0.00508,,,26-Apr-2017,
760,homu,1,1,2.6,0.4,0.01097,,,,26-Apr-2017,
760,homu,1,2,2.6,0.4,0.0107,,,,26-Apr-2017,
760,homu,1,3,2.4,0.4,0.00997,,,,26-Apr-2017,
760,homu,2,1,2.6,0.4,0.01085,,,,26-Apr-2017,
760,homu,2,2,3,0.5,0.01469,,,,26-Apr-2017,
760,homu,2,3,2,0.4,0.00794,,,,26-Apr-2017,
760,homu,3,1,2.9,0.4,0.01136,,,,26-Apr-2017,
760,homu,3,2,3.2,0.4,0.01273,,,,26-Apr-2017,
760,homu,3,3,2.5,0.4,0.00885,,,,26-Apr-2017,
760,homu,4,1,2.9,0.4,0.01132,,,,26-Apr-2017,
760,homu,4,2,4.2,0.4,0.01882,,,,26-Apr-2017,
760,homu,4,3,3,0.4,0.01181,,,,26-Apr-2017,
760,homu,5,1,3.5,0.4,0.01646,,,,26-Apr-2017,
760,homu,5,2,4.3,0.4,0.01557,,,,26-Apr-2017,
760,homu,5,3,5.8,0.4,0.02209,,,,26-Apr-2017,
760,eupe,1,1,1,0.6,0.00637,,,,26-Apr-2017,
760,eupe,1,2,0.9,0.6,0.00594,,,,26-Apr-2017,
760,eupe,1,3,0.7,0.6,0.00484,,,,26-Apr-2017,
760,eupe,2,1,1.4,0.6,0.01011,,,,26-Apr-2017,
760,eupe,2,2,0.9,0.6,0.00518,,,,26-Apr-2017,
760,eupe,2,3,1,0.6,0.00546,,,,26-Apr-2017,
760,mica,1,1,1.5,0.4,0.00449,,,,26-Apr-2017,
760,mica,1,2,1.4,0.4,0.00442,,,,26-Apr-2017,
760,mica,1,3,1.4,0.3,0.00446,,,,26-Apr-2017,
760,mica,2,1,1.1,0.3,0.00332,,,,26-Apr-2017,
760,mica,2,2,1.1,0.3,0.00302,,,,26-Apr-2017,
760,mica,2,3,1.2,0.3,0.00337,,,,26-Apr-2017,
760,vuma,1,1,3.2,0.2,0.00528,,,,26-Apr-2017,"leaf curling, double area "
760,vuma,1,2,2.9,0.2,0.00597,,,,26-Apr-2017,"leaf curling, double area "
760,vuma,1,3,3.5,0.2,0.00958,,,,26-Apr-2017,
760,vuma,2,1,4.8,0.2,0.01189,,,,26-Apr-2017,
760,vuma,2,2,4.3,0.3,0.1096,,,,26-Apr-2017,
760,vuma,2,3,4.3,0.2,0.01048,,,,26-Apr-2017,
760,vuma,3,1,3.7,0.2,0.00741,,,,26-Apr-2017,
760,vuma,3,2,4.5,0.3,0.01093,,,,26-Apr-2017,
760,aghe,1,1,7.2,0.3,0.02328,,,,26-Apr-2017,
760,aghe,1,2,6.5,0.3,0.01741,,,,26-Apr-2017,
760,aghe,1,3,9.3,0.3,0.07162,,,,26-Apr-2017,
760,aghe,2,1,8.5,0.4,0.04298,,,,26-Apr-2017,
760,aghe,2,2,9,0.4,0.03417,,,,26-Apr-2017,
760,aghe,2,3,8.2,0.4,0.02702,,,,26-Apr-2017,
760,aghe,3,1,6,0.4,0.02699,,,,26-Apr-2017,
760,aghe,3,2,9.2,0.5,0.05061,,,,26-Apr-2017,
760,aghe,3,3,9.5,0.4,0.05258,,,,26-Apr-2017,
