plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
760,CEME,1,1,2.5,0.5,0.01703,,,,,22-May-2017,17.5,14,3,
760,CEME,1,2,2.9,0.6,0.0239,,,,,22-May-2017,,,,
760,CEME,1,3,3.1,0.6,0.03006,,,,,22-May-2017,,,,
760,CEME,2,1,4,0.8,0.06311,,,,,22-May-2017,23,15,7,
760,CEME,2,2,4.2,1,0.05863,,,,,22-May-2017,,,,
760,CEME,2,3,2.2,0.4,0.01799,,,,,22-May-2017,,,,
760,CEME,3,1,2.7,0.5,0.02677,,,,,22-May-2017,30,14,6,
760,CEME,3,2,3.7,0.6,0.05078,,,,,22-May-2017,,,,
760,CEME,3,3,3.9,0.6,0.05145,,,,,22-May-2017,,,,
760,CEME,4,1,3,0.5,0.03008,,,,,22-May-2017,24,8,4,
760,CEME,4,2,2.7,0.4,0.02315,,,,,22-May-2017,,,,
760,CEME,4,3,3.3,0.5,0.02946,,,,,22-May-2017,,,,
760,CEME,5,1,3.9,0.6,0.04426,,,,,22-May-2017,23,9,4,
760,CEME,5,2,3,0.8,0.03346,,,,,22-May-2017,,,,
760,CEME,5,3,3.9,0.6,0.04246,,,,,22-May-2017,,,,
760,clpu,1,1,2.3,0.3,0.01789,,,,,22-May-2017,9,9,5,herbivory
760,clpu,1,2,2.5,0.3,0.02155,,,,,22-May-2017,,,,
760,clpu,1,3,2,0.2,0.0121,,,,,22-May-2017,,,,
760,clpu,2,1,1.5,0.2,0.00878,,,,,22-May-2017,7,7.5,7,half of plant
760,clpu,2,2,1.4,0.3,0.01207,,,,,22-May-2017,,,,
760,clpu,2,3,1.9,0.2,0.01323,,,,,22-May-2017,,,,
760,clpu,3,1,2.5,0.4,0.0255,,,,,22-May-2017,13.5,16,9,half of plant
760,clpu,3,2,2.5,0.4,0.0248,,,,,22-May-2017,,,,
760,clpu,3,3,2.4,0.4,0.02544,,,,,22-May-2017,,,,
760,clpu,4,1,1.8,0.2,0.01027,,,,,22-May-2017,7,6.5,6.5,
760,clpu,4,2,1.7,0.2,0.00879,,,,,22-May-2017,,,,
760,clpu,4,3,1.5,0.2,0.00716,,,,,22-May-2017,,,,
760,clpu,5,1,1.4,0.2,0.00793,,,,,22-May-2017,7.5,5.5,3,
760,clpu,5,2,1.3,0.2,0.00839,,,,,22-May-2017,,,,
760,clpu,5,3,1.3,0.2,0.00591,,,,,22-May-2017,,,,
760,heco,1,1,9,0.8,0.148,,,,,22-May-2017,18,10,8,
760,heco,1,2,6.3,0.6,0.08673,,,,,22-May-2017,,,,
760,heco,1,3,2.8,0.8,0.134,,,,,22-May-2017,,,,
760,heco,2,1,8,0.6,0.11005,,,,,22-May-2017,30,14,11,
760,heco,2,2,8.4,0.9,0.138,,,,,22-May-2017,,,,
760,heco,2,3,5.8,0.5,0.06162,,,,,22-May-2017,,,,
760,heco,3,1,7.5,1,0.1769,,,,,22-May-2017,29,14,14,
760,heco,3,2,7.9,1,0.15981,,,,,22-May-2017,,,,
760,heco,3,3,6.6,0.8,0.1125,,,,,22-May-2017,,,,
760,heco,4,1,10.4,0.9,0.21344,,,,,22-May-2017,12.5,15,15,
760,heco,4,2,8.2,0.8,0.14435,,,,,22-May-2017,,,,
760,heco,4,3,9.3,1,0.229,,,,,22-May-2017,,,,
760,heco,5,1,4.5,0.6,0.05676,,,,,22-May-2017,12,11,10,
760,heco,5,2,4.7,0.6,0.0648,,,,,22-May-2017,,,,
760,heco,5,3,2.8,0.6,0.02983,,,,,22-May-2017,,,,
761,CEME,1,1,3.3,0.6,0.02907,,,,,22-May-2017,18,3,3,
761,CEME,1,2,2.9,0.5,0.02378,,,,,22-May-2017,,,,
761,CEME,1,3,3.5,0.7,0.03183,,,,,22-May-2017,,,,
761,CEME,2,1,2.6,0.6,0.03208,,,,,22-May-2017,26,14,10,
761,CEME,2,2,2.4,0.5,0.02348,,,,,22-May-2017,,,,
761,CEME,2,3,2.6,0.6,0.02317,,,,,22-May-2017,,,,
761,CEME,3,1,2.2,0.3,0.01521,,,,,22-May-2017,23,11,7,
761,CEME,3,2,2.5,0.5,0.02313,,,,,22-May-2017,,,,
761,CEME,3,3,2,0.5,0.01986,,,,,22-May-2017,,,,
761,CEME,4,1,5.4,0.9,0.0926,,,,,22-May-2017,21,9,4,
761,CEME,4,2,5.9,1.1,0.109,,,,,22-May-2017,,,,
761,CEME,4,3,2.9,0.3,0.02722,,,,,22-May-2017,,,,
761,CEME,5,1,3,0.6,0.0386,,,,,22-May-2017,11,12,10,
761,CEME,5,2,2.8,0.6,0.03944,,,,,22-May-2017,,,,
761,CEME,5,3,3,0.6,0.03933,,,,,22-May-2017,,,,
