plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes,H,L,W
non_plot,Carduus pycnocephala,1,1,11,6,0.4881,,,,,,46,16,14
non_plot,Carduus pycnocephala,1,2,6,5,0.29219,,,,,,,,
non_plot,Carduus pycnocephala,1,3,8,6,0.39499,,,,,,,,
non_plot,Carduus pycnocephala,2,1,10,7,0.83688,,,,,,67,20,22
non_plot,Carduus pycnocephala,2,2,9,6,0.50083,,,,,,,,
non_plot,Carduus pycnocephala,2,3,7,5,0.34855,,,,,,,,
non_plot,Carduus pycnocephala,3,1,12,7,1.01212,,,,,,87,30,19
non_plot,Carduus pycnocephala,3,2,13,7,1.15932,,,,,,,,
non_plot,Carduus pycnocephala,3,3,6,4,0.2732,,,,,,,,
non_plot,Carduus pycnocephala,4,1,11,7,0.67873,,,,,,61,24,14
non_plot,Carduus pycnocephala,4,2,10,6,0.51458,,,,,,,,
non_plot,Carduus pycnocephala,4,3,9,6,0.43677,,,,,,,,
non_plot,Carduus pycnocephala,5,1,11,6,0.667,,,,,,61,23,12
non_plot,Carduus pycnocephala,5,2,10,6,0.51901,,,,,,,,
non_plot,Carduus pycnocephala,5,3,7,4,0.26531,,,,,,,,
non_plot,Carduus pycnocephala,5.1,1,12,7,1.1741,,,,,,58,19,20
non_plot,Carduus pycnocephala,5.1,2,12,6,0.7918,,,,,,,,
non_plot,Carduus pycnocephala,6,1,11,7,0.72318,,,,,,65,24,18
non_plot,Carduus pycnocephala,6,2,9,6,0.47839,,,,,,,,
non_plot,Carduus pycnocephala,6,3,6,4,0.21849,,,,,,,,
non_plot,Carduus pycnocephala,7,1,11,6,0.77951,,,,,,56,20,18
non_plot,Carduus pycnocephala,7,2,12,7,0.9483,,,,,,,,
non_plot,Carduus pycnocephala,7,3,10,5,0.63474,,,,,,,,
non_plot,Carduus pycnocephala,8,1,14,8,1.37773,,,,,,94,20,23
non_plot,Carduus pycnocephala,8,2,12,8,1.17208,,,,,,,,
non_plot,Carduus pycnocephala,8,3,10,6,0.72319,,,,,,,,
comp,VUMA,2,1,5.5,0.2,0.01889,,,,,,41,5,5
comp,VUMA,2,2,4.4,0.2,0.00838,,,,,,,,
comp,VUMA,2,3,6,0.2,0.01656,,,,,,,,
comp,VUMA,3,1,6.5,0.2,0.0122,,,,,,41,7,5
comp,VUMA,3,2,5.5,0.2,0.01203,,,,,,,,
comp,VUMA,3,3,6,0.2,0.01633,,,,,,,,
comp,VUMA,4,1,5,0.2,0.01126,,,,,,31,7,5
comp,VUMA,4,2,5,0.2,0.0112,,,,,,,,
comp,VUMA,4,3,4.2,0.2,0.00714,,,,,,,,
comp,VUMA,5,1,6,0.2,0.01469,,,,,,40,7,5
comp,VUMA,5,2,6.5,0.2,0.01716,,,,,,,,
