plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes,H,L,W,
non_plot,LASE,2,1,10,2,0.19451,,,,10-May-2017,,27,16,12,
non_plot,LASE,2,2,11.4,2.6,0.31041,,,,10-May-2017,,,,,
non_plot,LASE,2,3,11.5,4.5,0.4886,,,,10-May-2017,,,,,
non_plot,lase,3,1,12,4,0.65016,,,,10-May-2017,,23,22,5,
non_plot,lase,3,2,11,4.3,0.63336,,,,10-May-2017,,,,,
non_plot,lase,3,3,9,4,0.41,,,,10-May-2017,,,,,
non_plot,lase,8,1,8,2.2,0.2846,,,,10-May-2017,,18,17,8,only two focal leaves for this plant
non_plot,lase,8,2,9.8,2,0.3344,,,,10-May-2017,,,,,
non_plot,lase,8,3,NA,NA,NA,,,,10-May-2017,,,,,
non_plot,lase,5,1,8.5,2.1,0.28351,,,,10-May-2017,,23,22,4,
non_plot,lase,5,2,8,2,0.28933,,,,10-May-2017,,,,,
non_plot,lase,5,3,9.1,2.2,0.34009,,,,10-May-2017,,,,,
non_plot,LASE,1,1,11,2,0.2525,,,,10-May-2017,,20,13,2,
non_plot,LASE,1,2,12,2,0.33919,,,,10-May-2017,,,,,
non_plot,LASE,1,3,10,2.5,0.33911,,,,10-May-2017,,,,,
non_plot,LASE,4,1,12,3,0.37328,,,,10-May-2017,,25,23,15,
non_plot,LASE,4,2,12,4.5,0.62959,,,,10-May-2017,,,,,
non_plot,LASE,4,3,12,4,0.56232,,,,10-May-2017,,,,,
non_plot,LASE,6,1,12,2.5,0.30315,,,,10-May-2017,,20,17,11,
non_plot,LASE,6,2,13,4,0.47805,,,,10-May-2017,,,,,
non_plot,LASE,6,3,11,4,0.51852,,,,10-May-2017,,,,,
non_plot,LASE,7,1,8,1.5,0.12407,,,,10-May-2017,,14,10,4,
non_plot,LASE,7,2,9,2,0.20081,,,,10-May-2017,,,,,
non_plot,LASE,7,3,8,2.5,0.24869,,,,10-May-2017,,,,,
non_plot,AVFA,1,1,14,1,0.12854,,,,10-May-2017,,58,8,8,
non_plot,AVFA,1,2,15,1,0.14693,,,,10-May-2017,,,,,
non_plot,AVFA,1,3,15,1,0.16406,,,,10-May-2017,,,,,
non_plot,AVFA,2,1,11,1,0.09053,,,,10-May-2017,,50,7,7,
non_plot,AVFA,2,2,15,1,0.21475,,,,10-May-2017,,,,,
non_plot,AVFA,2,3,13,1,0.18192,,,,10-May-2017,,,,,
non_plot,AVFA,4,1,20,1.5,0.28262,,,,10-May-2017,,66,21,17,
non_plot,AVFA,4,2,16,2.5,0.20041,,,,10-May-2017,,,,,
