USDA_symbol,height,order
TRLA4,8,1
TRLA4,15,2
TRLA4,8,3
TRLA4,15,4
TRLA4,15,5
TRLA4,7,6
TRLA4,8,7
TRLA4,15,8
TRLA4,10,9
TRLA4,10,10
TRLA4,8,11
TRLA4,11,12
TRLA4,10,13
TRLA4,15,14
TRLA4,11,15
TRLA4,8,16
TRLA4,18,17
TRLA4,9,18
TRLA4,9,19
TRLA4,16,20
TRLA4,19,21
TRLA4,13,22
TRLA4,11,23
TRLA4,6,24
TRLA4,7,25
TRLA4,9,26
TRLA4,8,27
TRLA4,10,28
TRLA4,8,29
TRLA4,9,30
TRLA4,14,31
TRLA4,7,32
TRLA4,7,33
TRLA4,8,34
TRLA4,7,35
TRLA4,12,36
TRLA4,13,37
TRLA4,14,38
TRLA4,14,39
TRLA4,16,40
ERGR5,24,41
ERGR5,20,42
ERGR5,20,43
ERGR5,23,44
ERGR5,13,45
ERGR5,18,46
ERGR5,26,47
ERGR5,35,48
ERGR5,30,49
ERGR5,29,50
ERGR5,20,51
ERGR5,24,52
ERGR5,18,53
ERGR5,21,54
ERGR5,45,55
ERGR5,39,56
ERGR5,35,57
ERGR5,24,58
ERGR5,16,59
ERGR5,30,60
ERGR5,27,61
ERGR5,29,62
ERGR5,23,63
ERGR5,27,64
ERGR5,31,65
ERGR5,32,66
ERGR5,43,67
ERGR5,43,68
ERGR5,42,69
ERGR5,31,70
ERGR5,31,71
ERGR5,27,72
ERGR5,25,73
ERGR5,35,74
ERGR5,34,75
ERGR5,25,76
ERGR5,28,77
ERGR5,41,78
ERGR5,38,79
ERGR5,29,80
GEDI,5,81
GEDI,9,82
GEDI,11,83
GEDI,13,84
GEDI,16,85
GEDI,17,86
GEDI,22,87
GEDI,20,88
GEDI,13,89
GEDI,4,90
GEDI,7,91
GEDI,21,92
GEDI,22,93
GEDI,20,94
GEDI,8,95
GEDI,15,96
GEDI,20,97
GEDI,20,98
GEDI,21,99
GEDI,21,100
GEDI,14,101
GEDI,16,102
GEDI,19,103
GEDI,18,104
GEDI,21,105
GEDI,19,106
GEDI,20,107
GEDI,21,108
GEDI,16,109
GEDI,18,110
GEDI,15,111
GEDI,22,112
GEDI,20,113
GEDI,25,114
GEDI,25,115
GEDI,20,116
GEDI,31,117
GEDI,24,118
GEDI,23,119
GEDI,26,120
ASGA,9,121
ASGA,14,122
ASGA,13,123
ASGA,10,124
ASGA,13,125
ASGA,17,126
ASGA,11,127
ASGA,9,128
ASGA,11,129
ASGA,10,130
ASGA,16,131
ASGA,17,132
ASGA,14,133
ASGA,14,134
ASGA,14,135
ASGA,10,136
ASGA,8,137
ASGA,12,138
ASGA,11,139
ASGA,11,140
ASGA,7,141
ASGA,9,142
ASGA,9,143
ASGA,9,144
ASGA,17,145
ASGA,16,146
ASGA,15,147
ASGA,17,148
ASGA,15,149
ASGA,9,150
ASGA,5,151
ASGA,12,152
ASGA,13,153
ASGA,10,154
ASGA,9,155
ASGA,9,156
ASGA,8,157
ASGA,13,158
ASGA,8,159
ASGA,7,160
MIDO3,8,161
MIDO3,10,162
MIDO3,8,163
MIDO3,7,164
MIDO3,11,165
MIDO3,12,166
MIDO3,8,167
MIDO3,11,168
MIDO3,9,169
MIDO3,8,170
MIDO3,8,171
MIDO3,9,172
MIDO3,10,173
MIDO3,9,174
MIDO3,7,175
MIDO3,9,176
MIDO3,9,177
MIDO3,9,178
MIDO3,12,179
MIDO3,10,180
MIDO3,11,181
MIDO3,11,182
MIDO3,15,183
MIDO3,13,184
MIDO3,13,185
MIDO3,8,186
MIDO3,9,187
MIDO3,10,188
MIDO3,10,189
MIDO3,8,190
MIDO3,11,191
MIDO3,8,192
MIDO3,13,193
MIDO3,8,194
MIDO3,13,195
MIDO3,11,196
MIDO3,11,197
MIDO3,10,198
MIDO3,13,199
MIDO3,12,200
ANFI3,4,201
ANFI3,6,202
ANFI3,4,203
ANFI3,5,204
ANFI3,3,205
ANFI3,4,206
ANFI3,5,207
ANFI3,4,208
ANFI3,5,209
ANFI3,3,210
ANFI3,6,211
ANFI3,4,212
ANFI3,4,213
ANFI3,6,214
ANFI3,2,215
ANFI3,3,216
ANFI3,5,217
ANFI3,3,218
ANFI3,5,219
ANFI3,7,220
ANFI3,4,221
ANFI3,4,222
ANFI3,7,223
ANFI3,4,224
ANFI3,4,225
ANFI3,4,226
ANFI3,4,227
ANFI3,3,228
ANFI3,6,229
ANFI3,4,230
ANFI3,5,231
ANFI3,4,232
ANFI3,5,233
ANFI3,3,234
ANFI3,3,235
GIACM,22,236
GIACM,13,237
GIACM,25,238
GIACM,32,239
GIACM,25,240
GIACM,26,241
GIACM,23,242
GIACM,23,243
GIACM,16,244
GIACM,21,245
GIACM,12,246
GIACM,22,247
GIACM,17,248
GIACM,20,249
GIACM,18,250
GIACM,18,251
GIACM,21,252
GIACM,20,253
GIACM,19,254
GIACM,15,255
GIACM,12,256
GIACM,11,257
GIACM,14,258
GIACM,13,259
GIACM,12,260
GIACM,11,261
GIACM,15,262
GIACM,18,263
GIACM,13,264
GIACM,13,265
GIACM,16,266
GIACM,14,267
GIACM,17,268
GIACM,19,269
GIACM,21,270
GIACM,19,271
GIACM,15,272
GIACM,19,273
GIACM,25,274
GIACM,21,275
RILE2,15,276
RILE2,16,277
RILE2,13,278
RILE2,14,279
RILE2,7,280
RILE2,14,281
RILE2,11,282
RILE2,11,283
RILE2,10,284
RILE2,15,285
RILE2,15,286
RILE2,14,287
RILE2,12,288
RILE2,12,289
RILE2,18,290
RILE2,15,291
RILE2,15,292
RILE2,18,293
RILE2,14,294
RILE2,13,295
RILE2,11,296
RILE2,13,297
RILE2,11,298
RILE2,17,299
RILE2,18,300
RILE2,21,301
RILE2,14,302
RILE2,12,303
RILE2,15,304
RILE2,13,305
RILE2,16,306
RILE2,10,307
RILE2,14,308
RILE2,6,309
RILE2,7,310
RILE2,13,311
RILE2,9,312
RILE2,8,313
RILE2,17,314
RILE2,13,315
LOCA19,18,316
LOCA19,18,317
LOCA19,12,318
LOCA19,7,319
LOCA19,7,320
LOCA19,12,321
LOCA19,17,322
LOCA19,12,323
LOCA19,8,324
LOCA19,14,325
LOCA19,12,326
LOCA19,6,327
LOCA19,10,328
LOCA19,10,329
LOCA19,7,330
LOCA19,9,331
LOCA19,11,332
LOCA19,10,333
LOCA19,12,334
LOCA19,7,335
LOCA19,8,336
LOCA19,15,337
LOCA19,12,338
LOCA19,16,339
LOCA19,11,340
LOCA19,5,341
LOCA19,6,342
LOCA19,16,343
LOCA19,17,344
LOCA19,16,345
LOCA19,14,346
LOCA19,15,347
LOGA2,8,348
LOGA2,7,349
LOGA2,11,350
LOGA2,8,351
LOGA2,11,352
LOGA2,8,353
LOGA2,7,354
LOGA2,10,355
LOGA2,7,356
LOGA2,9,357
LOGA2,12,358
LOGA2,12,359
LOGA2,7,360
LOGA2,13,361
LOGA2,10,362
LOGA2,9,363
LOGA2,11,364
LOGA2,7,365
LOGA2,7,366
LOGA2,8,367
LOGA2,7,368
LOGA2,7,369
LOGA2,9,370
LOGA2,5,371
LOGA2,7,372
LOGA2,12,373
LOGA2,7,374
LOGA2,7,375
LOGA2,8,376
LOGA2,13,377
LOGA2,8,378
LOGA2,6,379
LOGA2,11,380
LOGA2,9,381
LOGA2,12,382
LOGA2,7,383
LOGA2,11,384
LOGA2,12,385
LOGA2,12,386
LOGA2,10,387
MIEL,4,388
MIEL,4,389
MIEL,4,390
MIEL,5,391
