plot,USDA_symbol,plant_number,height,width,length,date
non_plot,DOCL,1,23,6,6,3/3/17
non_plot,DOCL,2,23,5,4,3/3/17
non_plot,DOCL,3,27,10,7,3/3/17
non_plot,DOCL,4,20,5,4,3/3/17
non_plot,DOCL,5,35,7,7,3/3/17
non_plot,DOCL,6,24,5,5,3/3/17
non_plot,DOCL,7,21,7,6,3/3/17
non_plot,DOCL,8,8,8,16,3/3/17
non_plot,THCU,9,24,1,1,3/3/17
non_plot,THCU,10,28,4,2,3/3/17
non_plot,THCU,11,26,2.5,2,3/3/17
non_plot,THCU,12,34,3.5,5,3/3/17
non_plot,THCU,13,31,3.5,3.5,3/3/17
non_plot,THCU,14,24,2.5,2,3/3/17
non_plot,THCU,15,19,4,4,3/3/17
non_plot,THCU,16,30,2.5,3,3/3/17
non_plot,THLA3,17,42,5,3,3/3/17
non_plot,THLA3,18,46,8,9,3/3/17
non_plot,THLA3,19,50,11,16,3/3/17
non_plot,THLA3,20,40,,,3/3/17
non_plot,THLA3,21,39,14,8,3/3/17
non_plot,THLA3,22,43,18,15,3/3/17
non_plot,THLA3,23,49,8,6,3/3/17
non_plot,THLA3,24,30,5,4,3/3/17
non_plot,LEPA51,1,11,4,1,4/4/17
non_plot,LEPA51,2,13,3,3,4/4/17
non_plot,LEPA51,3,10,1,1,4/4/17
non_plot,LEPA51,4,12,2,2,4/4/17
non_plot,LEPA51,5,12,2,2,4/4/17
non_plot,LEPA51,6,15,3,3,4/4/17
non_plot,LEPA51,7,18,3,2,4/4/17
non_plot,LEPA51,8,13,1,1,4/4/17
non_plot,LOST4,1,6,11,4,4/5/17
non_plot,LOST4,2,5,10,3,4/5/17
non_plot,LOST4,3,8,9,8,4/5/17
non_plot,LOST4,4,8,12,8,4/5/17
non_plot,LOST4,5,3,8,5,4/5/17
non_plot,LOST4,6,5,12,10,4/5/17
non_plot,LOST4,7,7,7,4,4/5/17
non_plot,LOST4,8,6,11,9,4/5/17
non_plot,BRHO2,1,24,6,4,4/6/17
non_plot,BRHO2,2,26,5,4,4/6/17
non_plot,BRHO2,3,36,5,3,4/6/17
non_plot,BRHO2,4,20,14,11,4/6/17
non_plot,BRHO2,5,24,7,6,4/6/17
non_plot,BRHO2,6,52,12,10,4/6/17
non_plot,BRHO2,7,41,11,6,4/6/17
non_plot,BRHO2,8,30,5,5,4/6/17
non_plot,ERMO7,1,16,14,9,4/6/17
non_plot,ERMO7,2,13,15,15,4/6/17
non_plot,ERMO7,3,11,6,4,4/6/17
non_plot,ERMO7,4,18,15,15,4/6/17
non_plot,ERMO7,5,9,6,7,4/6/17
non_plot,ERMO7,6,21,11,9,4/6/17
non_plot,ERMO7,7,17,11,5,4/6/17
non_plot,ERMO7,8,12,10,7,4/6/17
non_plot,FEMY2,5,32,7,7,4/6/17
non_plot,FEMY2,4,38,11,8,4/6/17
non_plot,FEMY2,6,30,7,6,4/6/17
non_plot,FEMY2,7,42,15,14,4/6/17
non_plot,FEMY2,8,38,6,5,4/6/17
non_plot,LUBI,1,18,8,9,4/6/17
non_plot,LUBI,2,19,10,6,4/6/17
non_plot,LUBI,3,20,4,7,4/6/17
non_plot,LUBI,4,18,7,4,4/6/17
non_plot,LUBI,5,15,8,3,4/6/17
non_plot,LUBI,6,19,4,11,4/6/17
non_plot,LUBI,7,12,3,4,4/6/17
non_plot,LUBI,8,14,8,3,4/6/17
non_plot,VIPE3,1,19,13,9,4/6/17
non_plot,VIPE3,2,12,20,10,4/6/17
non_plot,VIPE3,3,22,8,9,4/6/17
non_plot,VIPE3,4,10,36,20,4/6/17
non_plot,VIPE3,5,12,7,3,4/6/17
non_plot,VIPE3,6,17,12,6,4/6/17
non_plot,VIPE3,7,9,9,9,4/6/17
