USDA_symbol,SLA,LDMC,LA,type
AMME,174.92909843729075,190.37816615289142,1.7941333333333334,focal
BRMA3,229.4688452286933,286.9018776685102,1.0412692307692308,focal
CEME2,224.4632666072431,232.83477728672975,3.0126923076923076,focal
CHGL,125.4326819412643,147.47609541172093,1.1356111111111111,focal
CLBO,166.1586343896031,256.10262962072363,0.33466666666666667,focal
CLPU2,136.62296493134411,253.34393826398917,0.48891666666666667,focal
ERCI6,248.68244450512393,222.50448465049158,1.9094,focal
EUSP,261.85078612794325,304.5005582865262,0.5501538461538462,focal
FEMI2,128.5475927630565,341.2995983084165,0.5555164835164835,focal
HECO7,162.35855412357563,266.8641613798126,6.223490566037736,focal
HOMU,247.38790861013283,270.9158366033023,1.5096461538461539,focal
LACA7,226.05516961537612,170.83738395316334,0.5179333333333334,focal
LOAM5,193.6440435630722,294.4377743881164,1.5339411764705881,focal
LOWR2,168.70039620819702,173.5053989226284,0.9735802469135802,focal
MEPO3,244.15424964192638,276.89505366356286,1.3738974358974358,focal
MICA,352.86011404604386,288.91420499339705,0.2871,focal
NAAT,124.166067530687,294.27933565573886,0.2999777777777778,focal
PLER3,149.77300635948419,234.57704568364818,1.0420666666666667,focal
SACO6,146.34959233056549,219.64191865293304,3.900316666666667,focal
URLI5,218.73574067000735,166.74526776360247,2.0560555555555555,focal
