plot,year,scan_date,USDA_symbol,all,plant,leaf,count,total_area,petiole,file,notes
non_plot,2017,2017-03-03,DOCL,FALSE,1,1,2,5.992,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,1,2,1,6.267,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,1,3,1,5.411,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,TRUE,1,NA,2,10.013,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,2,1,1,4.759,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,2,2,1,4.549,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,2,3,2,3.556,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,3,1,2,10.571,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,3,2,1,8.891,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,3,3,1,5.321,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,TRUE,3,NA,4,23.938,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,4,1,1,4.755,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,4,2,2,3.754,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,4,3,1,2.605,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,TRUE,4,NA,1,5.319,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,5,1,1,6.967,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,5,2,1,7.273,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,5,3,1,7.782,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,6,1,1,3.276,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,6,2,1,2.617,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,6,3,1,2.141,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,TRUE,6,NA,2,3.791,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,7,1,2,8.409,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,7,2,2,7.061,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,TRUE,7,NA,3,6.768,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,8,1,1,5.752,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,8,2,1,5.599,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,FALSE,8,3,1,5.104,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,DOCL,TRUE,8,NA,6,24.902,FALSE,data-raw/all-scans/scans-03032017/DOHE_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,9,1,1,0.214,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,9,2,1,0.213,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,9,3,1,0.178,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,9,NA,4,0.723,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,10,1,1,1.207,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,10,2,1,1.356,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,10,3,1,0.806,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,10,NA,6,2.946,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,11,1,1,0.651,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,11,2,1,0.619,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,11,3,1,0.253,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,11,NA,8,2.084,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,12,1,1,0.915,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,12,2,1,0.854,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,12,3,1,0.513,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,12,NA,12,7.717,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,13,1,1,1.087,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,13,2,1,0.684,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,13,3,1,0.621,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,13,NA,8,5.741,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,14,1,1,0.735,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,14,2,1,0.331,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,14,3,1,0.252,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,14,NA,7,1.967,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,15,1,1,0.82,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,15,2,1,0.376,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,15,3,1,0.293,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,15,NA,10,3.471,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,16,1,1,1.496,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,16,2,1,1.344,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,FALSE,16,3,1,0.434,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THCU,TRUE,16,NA,11,4.65,FALSE,data-raw/all-scans/scans-03032017/THCU_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,17,1,1,0.956,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,17,2,1,1.047,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,17,3,1,0.392,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,TRUE,17,NA,18,7.47,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,18,1,1,1.833,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,18,2,1,1.639,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,18,3,1,0.657,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,TRUE,18,NA,37,15.57,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
