USDA_symbol,alias,year,count,dry_weight_total,seed_weight_g
STME2,STME2,2019,100,0.0416,0.000416
ANFI3,ANFI3,2019,100,0.0283,0.000283
CLPE,CLPE,2019,100,0.099,0.00099
RILE2,RILE2,2019,100,0.0398,0.000398
ACMO2,ACMO2,2019,100,0.3641,0.003641
MIDO,MIDO,2019,100,0.1905,0.001905
GIACM2,GIACM2,2019,100,0.03,0.0003
AGHE2,AGHE2,2019,100,0.0356,0.000356
ASGA,ASGA,2019,100,0.094,0.00094
MIDO3,MIDO3,2019,100,0.0198,0.000198
LEPA51,LEPA51,2019,55,0.0145,0.000263636
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
