sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes,X14,X15,X16,X17,LDMC,alias,USDA_symbol,date
25,non_plot,lebo,1,1,6,2.6,0.09284,NA,0.01151,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12397673416630761,LEBO,LEBI4,2017-03-22
26,non_plot,lebo,1,2,6.2,3.2,0.11487,NA,0.01394,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12135457473665882,LEBO,LEBI4,2017-03-22
27,non_plot,lebo,1,3,3.5,2,0.03817,NA,0.00552,NA,22-Mar-17,NA,NA,NA,NA,NA,0.14461619072570078,LEBO,LEBI4,2017-03-22
28,non_plot,lebo,2,1,5.3,2.1,0.06117,NA,0.00847,NA,22-Mar-17,NA,NA,NA,NA,NA,0.13846656857936898,LEBO,LEBI4,2017-03-22
29,non_plot,lebo,2,2,5,2.6,0.05843,NA,0.00822,NA,22-Mar-17,NA,NA,NA,NA,NA,0.1406811569399281,LEBO,LEBI4,2017-03-22
30,non_plot,lebo,2,3,3.6,1.9,0.03672,NA,0.00553,NA,22-Mar-17,NA,NA,NA,NA,NA,0.150599128540305,LEBO,LEBI4,2017-03-22
31,non_plot,lebo,3,1,6,2.6,0.07726,NA,0.00812,NA,22-Mar-17,NA,NA,NA,NA,NA,0.10509966347398396,LEBO,LEBI4,2017-03-22
32,non_plot,lebo,3,2,5.5,2.5,0.07029,NA,0.00751,NA,22-Mar-17,NA,NA,NA,NA,NA,0.10684307867406459,LEBO,LEBI4,2017-03-22
33,non_plot,lebo,3,3,4.8,2.6,0.05135,NA,0.00593,NA,22-Mar-17,NA,NA,NA,NA,NA,0.11548198636806233,LEBO,LEBI4,2017-03-22
34,non_plot,lebo,4,1,6.2,4.6,0.0817,NA,0.00939,NA,22-Mar-17,NA,NA,NA,NA,NA,0.11493268053855571,LEBO,LEBI4,2017-03-22
35,non_plot,lebo,4,2,4.6,3.4,0.0474,NA,0.00589,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12426160337552744,LEBO,LEBI4,2017-03-22
36,non_plot,lebo,4,3,4.8,1.9,0.04105,NA,0.00514,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12521315468940314,LEBO,LEBI4,2017-03-22
37,non_plot,lebo,5,1,6,2.9,0.07636,NA,0.01234,NA,22-Mar-17,NA,NA,NA,NA,NA,0.16160293347302254,LEBO,LEBI4,2017-03-22
38,non_plot,lebo,5,2,6.3,4,0.09576,NA,0.01408,NA,22-Mar-17,NA,NA,NA,NA,NA,0.1470342522974102,LEBO,LEBI4,2017-03-22
39,non_plot,lebo,5,3,3.9,2,0.04112,NA,0.00671,NA,22-Mar-17,NA,NA,NA,NA,NA,0.16318093385214008,LEBO,LEBI4,2017-03-22
40,non_plot,lebo,6,1,5.8,2.7,0.08331,NA,0.01131,NA,22-Mar-17,all leaves split across 2 scans,NA,NA,NA,NA,0.13575801224342818,LEBO,LEBI4,2017-03-22
41,non_plot,lebo,6,2,4.9,2.5,0.0462,NA,0.00564,NA,22-Mar-17,all leaves split across 2 scans,NA,NA,NA,NA,0.12207792207792209,LEBO,LEBI4,2017-03-22
42,non_plot,lebo,6,3,4.8,2,0.04351,NA,0.00623,NA,22-Mar-17,all leaves split across 2 scans,NA,NA,NA,NA,0.14318547460353942,LEBO,LEBI4,2017-03-22
43,non_plot,lebo,7,1,6.2,2.4,0.09714,NA,0.01262,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12991558575252213,LEBO,LEBI4,2017-03-22
44,non_plot,lebo,7,2,5.2,2.2,0.05941,NA,0.00821,NA,22-Mar-17,NA,NA,NA,NA,NA,0.13819222353139204,LEBO,LEBI4,2017-03-22
45,non_plot,lebo,7,3,4.6,2.3,0.04349,NA,0.00636,NA,22-Mar-17,NA,NA,NA,NA,NA,0.14624051506093355,LEBO,LEBI4,2017-03-22
46,non_plot,lebo,8,1,5.5,3.3,0.10731,NA,0.0149,NA,22-Mar-17,NA,NA,NA,NA,NA,0.13885006057217408,LEBO,LEBI4,2017-03-22
47,non_plot,lebo,8,2,6,3.2,0.16141,NA,0.02112,NA,22-Mar-17,NA,NA,NA,NA,NA,0.13084691159159903,LEBO,LEBI4,2017-03-22
48,non_plot,lebo,8,3,3.8,2.2,0.05508,NA,0.00808,NA,22-Mar-17,NA,NA,NA,NA,NA,0.14669571532316633,LEBO,LEBI4,2017-03-22
49,non_plot,gilia,1,1,2.8,1,0.03777,NA,0.00541,NA,22-Mar-17,NA,NA,NA,NA,NA,0.14323537198835054,GILIA,GIOC,2017-03-22
50,non_plot,gilia,1,2,2.9,0.9,0.03881,NA,0.00558,NA,22-Mar-17,NA,NA,NA,NA,NA,0.14377737696469983,GILIA,GIOC,2017-03-22
51,non_plot,gilia,1,3,2.7,0.9,0.03724,NA,0.00559,NA,22-Mar-17,NA,NA,NA,NA,NA,0.15010741138560688,GILIA,GIOC,2017-03-22
52,non_plot,gilia,2,1,3.6,2.7,0.08769,NA,0.01225,NA,22-Mar-17,NA,NA,NA,NA,NA,0.13969665868400047,GILIA,GIOC,2017-03-22
53,non_plot,gilia,2,2,4,1.5,0.07328,NA,0.00943,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12868449781659388,GILIA,GIOC,2017-03-22
54,non_plot,gilia,2,3,4,1.7,0.09312,NA,0.01298,NA,22-Mar-17,NA,NA,NA,NA,NA,0.13939003436426117,GILIA,GIOC,2017-03-22
55,non_plot,gilia,3,1,4.6,1.3,0.06586,NA,0.00841,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12769511084117827,GILIA,GIOC,2017-03-22
56,non_plot,gilia,3,2,5.1,1.2,0.09017,NA,0.01202,NA,22-Mar-17,NA,NA,NA,NA,NA,0.1333037595652656,GILIA,GIOC,2017-03-22
57,non_plot,gilia,3,3,3.4,1.9,0.05643,NA,0.00878,NA,22-Mar-17,NA,NA,NA,NA,NA,0.15559099769626084,GILIA,GIOC,2017-03-22
58,non_plot,gilia,4,1,5.1,1.6,0.09724,NA,0.0124,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12751953928424517,GILIA,GIOC,2017-03-22
59,non_plot,gilia,4,2,4.7,1.5,0.08617,NA,0.01187,NA,22-Mar-17,NA,NA,NA,NA,NA,0.1377509574097714,GILIA,GIOC,2017-03-22
60,non_plot,gilia,4,3,4.5,1.4,0.07821,NA,0.00969,NA,22-Mar-17,NA,NA,NA,NA,NA,0.12389719984656694,GILIA,GIOC,2017-03-22
