species,year,seed_n,fresh_weight,dry_weight,notes
GIOC,2017,30,0.0356,0.0337,
LEPA,2017,30,0.0019,0.0108,
MIDO,2017,30,0.0674,0.0634,
ACMO,2017,30,0.117,0.118,
LOST,2017,30,0.1057,0.1002,
GIOC,2017,30,0.0211,0.0196,
LARA,2017,30,0.0147,0.0128,
BOIN,2017,30,0.0312,0.0293,
TOAR,2017,30,0.0568,0.0536,
GAAP,2017,22,0.0939,0.0867,
AGHE2,2017,30,0.0116,0.011,
TRAL,2017,30,0.0485,0.0465,
DOHE,2017,30,0.0311,0.0294,
ERMO,2017,30,0.0511,0.0492,
ANAR,2017,30,0.0113,0.0108,
CLPE,2017,17,0.271,0.0136,w/o elaiosome
THLA,2017,30,0.0288,0.0274,
THCU,2017,30,0.0557,0.053,
LOMU,2017,30,0.0672,0.0636,
LEBI,2017,30,0.0382,0.0368,
LUBI,2017,30,0.1927,0.1841,
CAPY,2017,30,0.151,0.1462,
STME2,2019,100,,0.0416,
ANFI3,2019,100,,0.0283,
CLPE,2019,100,,0.099,
RILE2,2019,100,,0.0398,
ACMO2,2019,100,,0.3641,
MIDO,2019,100,,0.1905,
GIACM2,2019,100,,0.03,
AGHE2,2019,100,,0.0356,
ASGA,2019,100,,0.094,
MIDO3,2019,100,,0.0198,
LEPA51,2019,55,,0.0145,
LOPU,2018,100,,0.46861,
LOWR,2018,100,,0.30536,
AMME,2018,100,,0.31672,
ANAR,2018,100,,0.03634,
BRMA,2018,100,,0.2796,
CEME,2018,100,,0.17952,
CHGL,2018,100,,0.061,
CHPA,2018,100,,0.06174,
CLBO,2018,100,,0.02219,
CLPU,2018,100,,0.0466,
ERCI,2018,100,,0.1265,
EUPE,2018,100,,0.1145,
VUMI,2018,100,,0.1256,
HECO,2018,100,,0.09812,
HOMU,2018,100,,0.6561,
LACA,2018,100,,0.00937,
MEPO,2018,100,,0.30632,
MICA,2018,100,,0.07205,
NAAT,2018,90,,0.1357,
PLER,2018,100,,0.18449,
SACO,2018,100,,0.09669,
SIGA,2018,100,,0.02576,
URLI,2018,100,,0.17331,
