species,seed_n,fresh_weight,dry_weight,notes
GIOC,30,0.0356,0.0337,
LEPA,30,0.0019,0.0108,
MIDO,30,0.0674,0.0634,
ACMO,30,0.117,0.118,
LOST,30,0.1057,0.1002,
GIOC,30,0.0211,0.0196,
LARA,30,0.0147,0.0128,
BOIN,30,0.0312,0.0293,
TOAR,30,0.0568,0.0536,
GAAP,22,0.0939,0.0867,
AGHE,30,0.0116,0.011,
TRAL,30,0.0485,0.0465,
DOHE,30,0.0311,0.0294,
ERMO,30,0.0511,0.0492,
ANAR,30,0.0113,0.0108,
CLPE,17,0.271,0.0136,w/o elaiosome
THLA,30,0.0288,0.0274,
THCU,30,0.0557,0.053,
LOMU,30,0.0672,0.0636,
LEBI,30,0.0382,0.0368,
LUBI,30,0.1927,0.1841,
CAPY,30,0.151,0.1462,
