species,plant_number,leaf_number,leaf_length,leaf_width,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole,n_leaves,date_collected
THLA,17,1,54,15,0.02266,,0.00364,,,2-Mar-17
THLA,17,2,48,20,0.02222,,0.00378,,,2-Mar-17
THLA,17,3,30,3,0.00649,,0.00137,,,2-Mar-17
THLA,18,1,60,8,0.04267,,0.00747,,,2-Mar-17
THLA,18,2,59,5,0.03632,,0.00673,,,2-Mar-17
THLA,18,3,39,3,0.01205,,0.00244,,,2-Mar-17
THLA,19,1,75,24,0.08254,,0.01202,,,2-Mar-17
THLA,19,2,46,7,0.01805,,0.00328,,,2-Mar-17
THLA,19,3,28,3,0.00588,,0.00121,,,2-Mar-17
THLA,20,1,86,25,0.06026,,0.00874,,,2-Mar-17
THLA,20,2,63,7,0.02367,,0.00411,,,2-Mar-17
THLA,20,3,47,4,0.01333,,0.00233,,,2-Mar-17
THLA,21,1,75,22,0.03796,,0.00567,,,2-Mar-17
THLA,21,2,52,4,0.01664,,0.00292,,,2-Mar-17
THLA,21,3,58,11,0.02111,,0.00338,,,2-Mar-17
THLA,22,1,84,17,0.09161,,0.01334,,,2-Mar-17
THLA,22,2,56,6,0.03906,,0.00708,,,2-Mar-17
THLA,22,3,54,13,0.03035,,0.00412,,,2-Mar-17
THLA,23,1,48,21,0.01761,,0.00271,,,2-Mar-17
THLA,23,2,42,10,0.01362,,0.00231,,,2-Mar-17
THLA,23,3,34,6,0.00884,,0.00157,,,2-Mar-17
THLA,24,1,41,9,0.01825,,0.00311,,,2-Mar-17
THLA,24,2,43,6,0.01674,,0.00278,,,2-Mar-17
THLA,24,3,30,2,0.00678,,0.00123,,,2-Mar-17
DOCL,1,1,49,23,0.23361,,0.02885,,,2-Mar-17
DOCL,1,2,49,24,0.27887,,0.03572,,,2-Mar-17
DOCL,1,3,50,24,0.18509,,0.02546,,,2-Mar-17
DOCL,2,1,43,21,0.1854,,0.02285,,,2-Mar-17
DOCL,2,2,42,21,0.16277,,0.0204,,,2-Mar-17
DOCL,2,3,41,18,0.12381,,0.01515,,,2-Mar-17
DOCL,3,1,61,31,0.4842,,0.05455,,,2-Mar-17
DOCL,3,2,59,30,0.40298,,0.04134,,,2-Mar-17
DOCL,3,3,53,22,0.2472,,0.02807,,,2-Mar-17
DOCL,4,1,58,20,0.18237,,0.02148,,,2-Mar-17
DOCL,4,2,51,18,0.13994,,0.01676,,,2-Mar-17
DOCL,4,3,51,14,0.09382,,0.01138,,,2-Mar-17
DOCL,5,1,54,25,0.26865,,0.03251,,,2-Mar-17
DOCL,5,2,55,26,0.28129,,0.03188,,,2-Mar-17
DOCL,5,3,58,25,0.29324,,0.0314,,,2-Mar-17
DOCL,6,1,45,16,0.1008,,0.01248,,,2-Mar-17
DOCL,6,2,43,14,0.08673,,0.01183,,,2-Mar-17
DOCL,6,3,40,13,0.06765,,0.00904,,,2-Mar-17
DOCL,7,1,71,24,0.32314,,0.0342,,,2-Mar-17
DOCL,7,2,69,21,0.24753,,0.02891,,,2-Mar-17
DOCL,8,1,58,22,0.29732,,0.02714,,,2-Mar-17
DOCL,8,2,55,23,0.28811,,0.0291,,,2-Mar-17
DOCL,8,3,62,20,0.27144,,0.02444,,,2-Mar-17
THCU,9,1,15,2,0.00431,,0.00067,,,2-Mar-17
THCU,9,2,15,3,0.00348,,0.00068,,,2-Mar-17
THCU,9,3,13,3,0.00332,,0.00064,,,2-Mar-17
THCU,10,1,31,5,0.03139,,0.00469,,,2-Mar-17
THCU,10,2,34,6,0.03371,,0.00573,,,2-Mar-17
THCU,10,3,25,5,0.01687,,0.00373,,,2-Mar-17
THCU,11,1,25,5,0.01396,,0.00273,,,2-Mar-17
THCU,11,2,24,5,0.01264,,0.00217,,,2-Mar-17
THCU,11,3,16,3,0.0042,,0.00116,,,2-Mar-17
THCU,12,1,31,6,0.02229,,0.00443,,,2-Mar-17
THCU,12,2,26,5,0.01857,,0.00365,,,2-Mar-17
THCU,12,3,24,4,0.01075,,0.00263,,,2-Mar-17
THCU,13,1,34,6,0.02861,,0.00364,,,2-Mar-17
THCU,13,2,25,4,0.01425,,0.00315,,,2-Mar-17
THCU,13,3,23,4,0.01172,,0.00271,,,2-Mar-17
THCU,14,1,28,5,0.01851,,0.00288,,,2-Mar-17
THCU,14,2,17,3,0.00683,,0.00145,,,2-Mar-17
THCU,14,3,16,4,0.00463,,0.00109,,,2-Mar-17
THCU,15,1,31,5,0.01857,,0.00286,,,2-Mar-17
THCU,15,2,19,3,0.00808,,0.00148,,,2-Mar-17
THCU,15,3,11,3,0.00516,,0.00118,,,2-Mar-17
THCU,16,1,37,7,0.03455,,0.00595,,,2-Mar-17
THCU,16,2,36,6,0.03255,,0.00645,,,2-Mar-17
THCU,16,3,21,3,0.00881,,0.00226,,,2-Mar-17
