sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes,,,,
1,748,chgl,1,1,3.3,0.9,0.04643,,0.00845,,22-Mar-17,,,,,
2,748,chgl,1,2,3.5,0.9,0.04678,,0.00848,,22-Mar-17,,,,,
3,748,chgl,1,3,3.5,0.9,0.04738,,0.00762,,22-Mar-17,,,,,
4,748,chgl,2,1,3.5,1.1,0.06766,,0.01233,,22-Mar-17,,,,,
5,748,chgl,2,2,3.5,0.9,0.06217,,0.01015,,22-Mar-17,,,,,
6,748,chgl,2,3,2.8,0.7,0.03116,,0.00641,,22-Mar-17,,,,,
7,748,chgl,3,1,4.4,1.3,0.07853,,0.01524,,22-Mar-17,,,,,
8,748,chgl,3,2,4.9,1.2,0.08692,,0.01609,,22-Mar-17,,,,,
9,748,chgl,3,3,4.5,1.3,0.08046,,0.01652,,22-Mar-17,,,,,
10,748,chgl,4,1,4.5,1.4,0.08138,,0.01196,,22-Mar-17,,,,,
11,748,chgl,4,2,2.6,0.5,0.02538,,0.00412,,22-Mar-17,,,,,
12,748,chgl,4,3,2.1,0.5,0.01892,,0.00273,,22-Mar-17,,,,,
13,748,chgl,5,1,3.6,1.1,0.0617,,0.00892,,22-Mar-17,,,,,
14,748,chgl,5,2,3.4,0.9,0.05168,,0.00712,,22-Mar-17,,,,,
15,748,chgl,5,3,3,0.8,0.05229,,0.00937,,22-Mar-17,,,,,
16,748,chgl,6,1,3.5,0.7,0.05466,,0.00866,,22-Mar-17,,,,,
17,748,chgl,6,2,3.1,0.6,0.03914,,0.00686,,22-Mar-17,multiple scans, leaf was bending in scanner. Use whichever scan looks better,,,
18,748,chgl,6,3,2.4,0.4,0.02511,,0.00481,,22-Mar-17,,,,,
19,748,chgl,7,1,3.9,1.1,0.08021,,0.01273,,22-Mar-17,,,,,
20,748,chgl,7,2,3.1,0.9,0.06526,,0.01111,,22-Mar-17,,,,,
21,748,chgl,7,3,3.1,0.9,0.05745,,0.00916,,22-Mar-17,,,,,
22,748,chgl,8,1,2.9,0.7,0.03495,,0.00678,,22-Mar-17,,,,,
23,748,chgl,8,2,2.2,0.5,0.02484,,0.00538,,22-Mar-17,,,,,
24,748,chgl,8,3,3.2,0.7,0.04285,,0.00721,,22-Mar-17,,,,,
25,non_plot,lebo,1,1,6,2.6,0.09284,,0.01151,,22-Mar-17,,,,,
26,non_plot,lebo,1,2,6.2,3.2,0.11487,,0.01394,,22-Mar-17,,,,,
27,non_plot,lebo,1,3,3.5,2,0.03817,,0.00552,,22-Mar-17,,,,,
28,non_plot,lebo,2,1,5.3,2.1,0.06117,,0.00847,,22-Mar-17,,,,,
29,non_plot,lebo,2,2,5,2.6,0.05843,,0.00822,,22-Mar-17,,,,,
30,non_plot,lebo,2,3,3.6,1.9,0.03672,,0.00553,,22-Mar-17,,,,,
31,non_plot,lebo,3,1,6,2.6,0.07726,,0.00812,,22-Mar-17,,,,,
32,non_plot,lebo,3,2,5.5,2.5,0.07029,,0.00751,,22-Mar-17,,,,,
33,non_plot,lebo,3,3,4.8,2.6,0.05135,,0.00593,,22-Mar-17,,,,,
34,non_plot,lebo,4,1,6.2,4.6,0.0817,,0.00939,,22-Mar-17,,,,,
35,non_plot,lebo,4,2,4.6,3.4,0.0474,,0.00589,,22-Mar-17,,,,,
36,non_plot,lebo,4,3,4.8,1.9,0.04105,,0.00514,,22-Mar-17,,,,,
37,non_plot,lebo,5,1,6,2.9,0.07636,,0.01234,,22-Mar-17,,,,,
38,non_plot,lebo,5,2,6.3,4,0.09576,,0.01408,,22-Mar-17,,,,,
39,non_plot,lebo,5,3,3.9,2,0.04112,,0.00671,,22-Mar-17,,,,,
40,non_plot,lebo,6,1,5.8,2.7,0.08331,,0.01131,,22-Mar-17,all leaves split across 2 scans,,,,
41,non_plot,lebo,6,2,4.9,2.5,0.0462,,0.00564,,22-Mar-17,all leaves split across 2 scans,,,,
42,non_plot,lebo,6,3,4.8,2,0.04351,,0.00623,,22-Mar-17,all leaves split across 2 scans,,,,
43,non_plot,lebo,7,1,6.2,2.4,0.09714,,0.01262,,22-Mar-17,,,,,
44,non_plot,lebo,7,2,5.2,2.2,0.05941,,0.00821,,22-Mar-17,,,,,
45,non_plot,lebo,7,3,4.6,2.3,0.04349,,0.00636,,22-Mar-17,,,,,
46,non_plot,lebo,8,1,5.5,3.3,0.10731,,0.0149,,22-Mar-17,,,,,
47,non_plot,lebo,8,2,6,3.2,0.16141,,0.02112,,22-Mar-17,,,,,
48,non_plot,lebo,8,3,3.8,2.2,0.05508,,0.00808,,22-Mar-17,,,,,
49,non_plot,gilia,1,1,2.8,1,0.03777,,0.00541,,22-Mar-17,,,,,
50,non_plot,gilia,1,2,2.9,0.9,0.03881,,0.00558,,22-Mar-17,,,,,
51,non_plot,gilia,1,3,2.7,0.9,0.03724,,0.00559,,22-Mar-17,,,,,
52,non_plot,gilia,2,1,3.6,2.7,0.08769,,0.01225,,22-Mar-17,,,,,
53,non_plot,gilia,2,2,4,1.5,0.07328,,0.00943,,22-Mar-17,,,,,
54,non_plot,gilia,2,3,4,1.7,0.09312,,0.01298,,22-Mar-17,,,,,
55,non_plot,gilia,3,1,4.6,1.3,0.06586,,0.00841,,22-Mar-17,,,,,
56,non_plot,gilia,3,2,5.1,1.2,0.09017,,0.01202,,22-Mar-17,,,,,
57,non_plot,gilia,3,3,3.4,1.9,0.05643,,0.00878,,22-Mar-17,,,,,
58,non_plot,gilia,4,1,5.1,1.6,0.09724,,0.0124,,22-Mar-17,,,,,
59,non_plot,gilia,4,2,4.7,1.5,0.08617,,0.01187,,22-Mar-17,,,,,
60,non_plot,gilia,4,3,4.5,1.4,0.07821,,0.00969,,22-Mar-17,,,,,
61,non_plot,gilia,5,1,4.7,1.5,0.07318,,0.00986,,22-Mar-17,,,,,
62,non_plot,gilia,5,2,4.6,2,0.08162,,0.01146,,22-Mar-17,,,,,
63,non_plot,gilia,5,3,4.2,2.2,0.08055,,0.01154,,22-Mar-17,,,,,
64,non_plot,gilia,6,1,6.1,1.7,0.08934,,0.01183,,22-Mar-17,,,,,
65,non_plot,gilia,6,2,5.8,1.3,0.07435,,0.01053,,22-Mar-17,,,,,
66,non_plot,gilia,6,3,6.1,1.7,0.08741,,0.01165,,22-Mar-17,,,,,
67,non_plot,gilia,7,1,4.2,1.8,0.12189,,0.01461,,22-Mar-17,,,,,
68,non_plot,gilia,7,2,3.5,1.5,0.0948,,0.01359,,22-Mar-17,,,,,
69,non_plot,gilia,7,3,4.2,1.5,0.10846,,0.01433,,22-Mar-17,,,,,
70,non_plot,gilia,8,1,4.5,1.4,0.07636,,,,22-Mar-17,,,,,
