"scan_id","plant.x","leaf","Year","month","day","Count","Total.Area","Average.Size","X.Area","Mean","full_name","species","plant.y","plot","plant"
"1","P1","L1","2017","03","03",2,5.992,2.996,0.994,252.246,"Dodecatheon hendersonii","DOHE",1,"non_plot",1
"1","P1","L2","2017","03","03",1,6.267,6.267,1.04,254.256,"Dodecatheon hendersonii","DOHE",1,"non_plot",1
"1","P1","L3","2017","03","03",1,5.411,5.411,0.898,253.819,"Dodecatheon hendersonii","DOHE",1,"non_plot",1
"1","P1","ALL","2017","03","03",2,10.013,5.007,1.662,254.145,"Dodecatheon hendersonii","DOHE",1,"non_plot",1
"2","P2","L1","2017","03","03",1,4.759,4.759,0.79,253.524,"Dodecatheon hendersonii","DOHE",2,"non_plot",2
"2","P2","L2","2017","03","03",1,4.549,4.549,0.755,253.947,"Dodecatheon hendersonii","DOHE",2,"non_plot",2
"2","P2","L3","2017","03","03",2,3.556,1.778,0.59,251.109,"Dodecatheon hendersonii","DOHE",2,"non_plot",2
"3","P3","L1","2017","03","03",2,10.571,5.286,1.754,250.378,"Dodecatheon hendersonii","DOHE",3,"non_plot",3
"3","P3","L2","2017","03","03",1,8.891,8.891,1.475,254.487,"Dodecatheon hendersonii","DOHE",3,"non_plot",3
"3","P3","L3","2017","03","03",1,5.321,5.321,0.883,253.676,"Dodecatheon hendersonii","DOHE",3,"non_plot",3
"3","P3","ALL","2017","03","03",4,23.938,5.984,3.972,253.277,"Dodecatheon hendersonii","DOHE",3,"non_plot",3
"4","P4","L1","2017","03","03",1,4.755,4.755,0.789,252.457,"Dodecatheon hendersonii","DOHE",4,"non_plot",4
"4","P4","L2","2017","03","03",2,3.754,1.877,0.623,253.57,"Dodecatheon hendersonii","DOHE",4,"non_plot",4
"4","P4","L3","2017","03","03",1,2.605,2.605,0.432,253.554,"Dodecatheon hendersonii","DOHE",4,"non_plot",4
"4","P4","ALL","2017","03","03",1,5.319,5.319,0.883,251.221,"Dodecatheon hendersonii","DOHE",4,"non_plot",4
"5","P5","L1","2017","03","03",1,6.967,6.967,1.156,254.208,"Dodecatheon hendersonii","DOHE",5,"non_plot",5
"5","P5","L2","2017","03","03",1,7.273,7.273,1.207,254.374,"Dodecatheon hendersonii","DOHE",5,"non_plot",5
"5","P5","L3","2017","03","03",1,7.782,7.782,1.291,253.886,"Dodecatheon hendersonii","DOHE",5,"non_plot",5
"6","P6","L1","2017","03","03",1,3.276,3.276,0.544,251.611,"Dodecatheon hendersonii","DOHE",6,"non_plot",6
"6","P6","L2","2017","03","03",1,2.617,2.617,0.434,254.55,"Dodecatheon hendersonii","DOHE",6,"non_plot",6
"6","P6","L3","2017","03","03",1,2.141,2.141,0.355,254.605,"Dodecatheon hendersonii","DOHE",6,"non_plot",6
"6","P6","ALL","2017","03","03",2,3.791,1.896,0.629,252.364,"Dodecatheon hendersonii","DOHE",6,"non_plot",6
"7","P7","L1","2017","03","03",2,8.409,4.205,1.395,249.955,"Dodecatheon hendersonii","DOHE",7,"non_plot",7
"7","P7","L2","2017","03","03",2,7.061,3.531,1.172,252.546,"Dodecatheon hendersonii","DOHE",7,"non_plot",7
"7","P7","ALL","2017","03","03",3,6.768,2.256,1.123,251.77,"Dodecatheon hendersonii","DOHE",7,"non_plot",7
"8","P8","L1","2017","03","03",1,5.752,5.752,0.954,254.716,"Dodecatheon hendersonii","DOHE",8,"non_plot",8
"8","P8","L2","2017","03","03",1,5.599,5.599,0.929,254.629,"Dodecatheon hendersonii","DOHE",8,"non_plot",8
"8","P8","L3","2017","03","03",1,5.104,5.104,0.847,253.859,"Dodecatheon hendersonii","DOHE",8,"non_plot",8
"8","P8","ALL","2017","03","03",6,24.902,4.15,4.132,252.257,"Dodecatheon hendersonii","DOHE",8,"non_plot",8
