"scan_id","plant.x","leaf","Year","month","day","Count","Total.Area","Average.Size","X.Area","Mean","full_name","species","plant.y","plot","plant"
"10","P10","L1","2017","03","03",1,1.207,1.207,0.2,253.486,"Thysanocarpus curvipes","THCU",2,"non_plot",2
"10","P10","L2","2017","03","03",1,1.356,1.356,0.225,255,"Thysanocarpus curvipes","THCU",2,"non_plot",2
"10","P10","L3","2017","03","03",1,0.806,0.806,0.134,254.926,"Thysanocarpus curvipes","THCU",2,"non_plot",2
"10","P10","ALL","2017","03","03",6,2.946,0.491,0.489,254.816,"Thysanocarpus curvipes","THCU",2,"non_plot",2
"11","P11","L1","2017","03","03",1,0.651,0.651,0.108,250.992,"Thysanocarpus curvipes","THCU",3,"non_plot",3
"11","P11","L2","2017","03","03",1,0.619,0.619,0.103,243.114,"Thysanocarpus curvipes","THCU",3,"non_plot",3
"11","P11","L3","2017","03","03",1,0.253,0.253,0.042,254.421,"Thysanocarpus curvipes","THCU",3,"non_plot",3
"11","P11","ALL","2017","03","03",8,2.084,0.26,0.346,251.779,"Thysanocarpus curvipes","THCU",3,"non_plot",3
"12","P12","L1","2017","03","03",1,0.915,0.915,0.152,254.835,"Thysanocarpus curvipes","THCU",4,"non_plot",4
"12","P12","L2","2017","03","03",1,0.854,0.854,0.142,254.492,"Thysanocarpus curvipes","THCU",4,"non_plot",4
"12","P12","L3","2017","03","03",1,0.513,0.513,0.085,254.92,"Thysanocarpus curvipes","THCU",4,"non_plot",4
"12","P12","ALL","2017","03","03",12,7.717,0.643,1.28,254.893,"Thysanocarpus curvipes","THCU",4,"non_plot",4
"13","P13","L1","2017","03","03",1,1.087,1.087,0.18,254.487,"Thysanocarpus curvipes","THCU",5,"non_plot",5
"13","P13","L2","2017","03","03",1,0.684,0.684,0.113,254.719,"Thysanocarpus curvipes","THCU",5,"non_plot",5
"13","P13","L3","2017","03","03",1,0.621,0.621,0.103,253.492,"Thysanocarpus curvipes","THCU",5,"non_plot",5
"13","P13","ALL","2017","03","03",8,5.741,0.718,0.953,254.932,"Thysanocarpus curvipes","THCU",5,"non_plot",5
"14","P14","L1","2017","03","03",1,0.735,0.735,0.122,254.727,"Thysanocarpus curvipes","THCU",6,"non_plot",6
"14","P14","L2","2017","03","03",1,0.331,0.331,0.055,252.9,"Thysanocarpus curvipes","THCU",6,"non_plot",6
"14","P14","L3","2017","03","03",1,0.252,0.252,0.042,253.585,"Thysanocarpus curvipes","THCU",6,"non_plot",6
"14","P14","ALL","2017","03","03",7,1.967,0.281,0.326,254.762,"Thysanocarpus curvipes","THCU",6,"non_plot",6
"15","P15","L1","2017","03","03",1,0.82,0.82,0.136,254.158,"Thysanocarpus curvipes","THCU",7,"non_plot",7
"15","P15","L2","2017","03","03",1,0.376,0.376,0.062,254.197,"Thysanocarpus curvipes","THCU",7,"non_plot",7
"15","P15","L3","2017","03","03",1,0.293,0.293,0.049,254.235,"Thysanocarpus curvipes","THCU",7,"non_plot",7
"15","P15","ALL","2017","03","03",10,3.471,0.347,0.576,254.83,"Thysanocarpus curvipes","THCU",7,"non_plot",7
"16","P16","L1","2017","03","03",1,1.496,1.496,0.248,254.624,"Thysanocarpus curvipes","THCU",8,"non_plot",8
"16","P16","L2","2017","03","03",1,1.344,1.344,0.223,254.844,"Thysanocarpus curvipes","THCU",8,"non_plot",8
"16","P16","L3","2017","03","03",1,0.434,0.434,0.072,253.317,"Thysanocarpus curvipes","THCU",8,"non_plot",8
"16","P16","ALL","2017","03","03",11,4.65,0.423,0.772,254.727,"Thysanocarpus curvipes","THCU",8,"non_plot",8
"9","P9","L1","2017","03","03",1,0.214,0.214,0.036,250.291,"Thysanocarpus curvipes","THCU",1,"non_plot",1
"9","P9","L2","2017","03","03",1,0.213,0.213,0.035,254.207,"Thysanocarpus curvipes","THCU",1,"non_plot",1
"9","P9","L3","2017","03","03",1,0.178,0.178,0.03,254.974,"Thysanocarpus curvipes","THCU",1,"non_plot",1
"9","P9","ALL","2017","03","03",4,0.723,0.181,0.12,254.291,"Thysanocarpus curvipes","THCU",1,"non_plot",1
