Name,Count,Total Area,Average Size,%Area,Mean,
744-pler-p1-l1,1,1.282,1.282,1.815,255,
744-pler-p1-l2,1,1.465,1.465,2.074,255,
744-pler-p1-l3,1,0.974,0.974,1.38,255,
744-pler-p2-l1,1,1.471,1.471,1.933,255,
744-pler-p2-l2,1,1.179,1.179,1.548,255,
744-pler-p2-l3,1,1.112,1.112,1.46,255,
744-pler-p3-l1,2,1.128,0.564,1.42,255,
744-pler-p3-l2,3,0.949,0.316,1.194,255,
744-pler-p3-l3,2,0.921,0.46,1.159,255,
744-pler-p4-l1,2,1.151,0.575,2.031,255,
744-pler-p4-l2,2,1.112,0.556,1.963,255,
744-pler-p4-l3,1,1.006,1.006,1.776,255,
744-pler-p5-l1,1,0.881,0.881,2.299,255,
744-pler-p5-l2,1,0.751,0.751,1.959,255,
744-pler-p5-l3,1,0.515,0.515,1.343,255,
748-pler-p1-l1,1,0.569,0.569,1.629,255,
748-pler-p1-l2,1,0.926,0.926,2.653,255,
748-pler-p1-l3,1,0.611,0.611,1.75,255,
748-pler-p2-l1,1,1.367,1.367,3.874,255,
748-pler-p2-l2,1,0.742,0.742,2.102,255,
748-pler-p2-l3,1,0.669,0.669,1.896,255,
748-pler-p3-l1,1,0.985,0.985,1.64,255,
748-pler-p3-l2,1,0.955,0.955,1.59,255,
748-pler-p3-l3,1,1.124,1.124,1.872,255,
748-pler-p4-l1,1,0.866,0.866,1.854,255,
748-pler-p4-l2,1,1.042,1.042,2.233,255,
748-pler-p4-l3,1,0.726,0.726,1.555,255,
748-pler-p5-l1,2,1.347,0.674,2.117,255,
748-pler-p5-l2,1,1.125,1.125,1.767,255,
748-pler-p5-l3,1,0.764,0.764,1.201,255,
740-pler-p1-l1.jpeg,3,1.148,0.383,1.123,255,
740-pler-p1-l2.jpeg,2,1.486,0.743,1.454,255,
740-pler-p1-l3.jpeg,2,1.205,0.603,1.18,255,
740-pler-p2-l1.jpeg,1,0.564,0.564,1.164,255,
740-pler-p2-l2.jpeg,1,0.592,0.592,1.222,255,
740-pler-p2-l3.jpeg,1,0.386,0.386,0.797,255,
752-pler-p1-l3,2,0.475,0.238,1.185,255,
752-pler-p1-l2,2,0.676,0.338,1.686,255,
752-pler-p1-l1,1,0.705,0.705,1.757,255,
752-pler-p2-l1,1,1.018,1.018,1.592,255,
752-pler-p2-l2,1,1.109,1.109,1.734,255,
752-pler-p2-l3,1,0.819,0.819,1.28,255,
752-pler-p3-l1,1,1.266,1.266,2.285,255,
752-pler-p3-l2,1,1.231,1.231,2.221,255,
752-pler-p3-l3,1,1.474,1.474,2.661,255,
743-laca-p1-l1,1,0.909,0.909,3.113,255,
743-laca-p1-l2,2,0.824,0.412,2.823,255,
743-laca-p1-l3,1,0.853,0.853,2.921,255,
743-laca-p2-l1,1,0.527,0.527,1.441,255,
743-laca-p2-l2,2,0.668,0.334,1.824,255,
743-laca-p2-l3,1,0.206,0.206,0.564,255,
743-laca-p3-l1,2,0.628,0.314,2.568,255,
743-laca-p3-l2,1,0.502,0.502,2.054,255,
743-laca-p3-l3,1,0.513,0.513,2.097,255,
743-laca-p4-l1,1,0.329,0.329,1.237,255,
743-laca-p4-l2,1,0.463,0.463,1.745,255,
743-laca-p4-l3,1,0.331,0.331,1.247,255,
743-laca-p5-l1,1,0.318,0.318,0.947,255,
743-laca-p5-l2,2,0.295,0.148,0.88,255,
743-laca-p5-l3,2,0.378,0.189,1.128,255,
744-laca-p1-l1.jpeg,1,0.946,0.946,6.479,255,
744-laca-p1-l2,1,0.737,0.737,3.297,255,
744-laca-p1-l3,1,0.745,0.745,3.33,255,
744-laca-p2-l1,1,0.648,0.648,2.685,255,
744-laca-p2-l2,2,0.692,0.346,2.867,255,
744-laca-p2-l3,1,0.645,0.645,2.674,255,
744-laca-p3-l1,3,1.039,0.346,3.409,255,
744-laca-p3-l2,3,0.703,0.234,2.305,255,
744-laca-p3-l3,2,0.799,0.399,2.621,255,
744-laca-p4-l1,1,0.564,0.564,2.848,255,
744-laca-p4-l2,1,0.634,0.634,3.203,255,
744-laca-p4-l3,1,0.344,0.344,1.735,255,
744-laca-p5-l1,1,0.645,0.645,2.309,255,
744-laca-p5-l2,1,0.634,0.634,2.269,255,
744-laca-p5-l3,2,0.634,0.317,2.269,255,
743-laca-p6-l1,1,0.264,0.264,2.517,255,
743-laca-p6-l2,1,0.279,0.279,2.664,255,
743-laca-p6-l3,1,0.177,0.177,1.686,255,
743-laca-p7-l1,1,0.123,0.123,0.573,255,
743-laca-p7-l2,1,0.126,0.126,0.586,255,
743-laca-p7-l3,1,0.079,0.079,0.366,255,
743-laca-p8-l1,1,0.223,0.223,1.239,255,
743-laca-p8-l2,1,0.24,0.24,1.33,255,
743-laca-p8-l3,1,0.092,0.092,0.513,255,
741-eupe-p1-l1,1,0.57,0.57,2.544,255,
741-eupe-p1-l2,1,0.812,0.812,3.621,255,
741-eupe-p1-l3,1,0.754,0.754,3.365,255,
741-eupe-p2-l1,1,1.105,1.105,5.348,255,
741-eupe-p2-l2,1,0.626,0.626,3.03,255,
741-eupe-p2-l3,1,0.961,0.961,4.648,255,
741-eupe-p3-l1,1,0.759,0.759,3.029,255,
741-eupe-p3-l2,1,0.552,0.552,2.202,255,
741-eupe-p3-l3,1,0.524,0.524,2.09,255,
751-eupe-p1-l1,1,0.425,0.425,1.583,255,
751-eupe-p1-l2,1,0.404,0.404,1.506,255,
751-eupe-p1-l3,1,0.383,0.383,1.428,255,
751-eupe-p2-l1,1,0.271,0.271,1.004,255,
751-eupe-p2-l2,1,0.265,0.265,0.983,255,
751-eupe-p2-l3,1,0.233,0.233,0.863,255,
751-eupe-p3-l1,1,0.462,0.462,2.984,255,
751-eupe-p3-l2,1,0.416,0.416,2.686,255,
751-eupe-p3-l3,1,0.444,0.444,2.866,255,
751-eupe-p4-l1,1,0.46,0.46,1.781,255,
751-eupe-p4-l2,1,0.489,0.489,1.891,255,
751-eupe-p4-l3,1,0.532,0.532,2.058,255,
751-eupe-p5-l1,1,0.358,0.358,1.313,255,
751-eupe-p5-l2,1,0.36,0.36,1.319,255,
751-eupe-p5-l3,1,0.322,0.322,1.18,255,
750-chgl-p1-l1,1,0.746,0.746,2.066,255,
750-chgl-p1-l2,1,0.545,0.545,1.51,255,
750-chgl-p1-l3,1,0.533,0.533,1.477,255,
750-chgl-p2-l1,1,0.665,0.665,1.627,255,
750-chgl-p2-l2,1,0.766,0.766,1.875,255,
750-chgl-p2-l3,1,0.511,0.511,1.251,255,
750-chgl-p3-l1,1,0.532,0.532,1.582,255,
750-chgl-p3-l2,1,0.577,0.577,1.715,255,
750-chgl-p3-l3,1,0.554,0.554,1.647,255,
741-amme-p1-l1,1,10.487,10.487,17.024,255,
741-amme-p1-l2,1,2.438,2.438,3.958,255,
741-amme-p1-l3,1,7.768,7.768,12.61,255,
746-amme-p1-l1.jpeg,1,0.52,0.52,0.74,255,
746-amme-p1-l2.jpeg,1,0.452,0.452,0.643,255,
746-amme-p1-l3.jpeg,1,0.446,0.446,0.634,255,
746-amme-p2-l1.jpeg,1,1.086,1.086,3.31,255,
746-amme-p2-l2.jpeg,1,0.813,0.813,2.477,255,
746-amme-p2-l3.jpeg,1,0.725,0.725,2.208,255,
743-mica-p1-l1.jpeg,1,0.47,0.47,6.226,239.21,
743-mica-p1-l2,1,0.349,0.349,1.019,254.398,
743-mica-p1-l3,1,0.163,0.163,0.474,253.622,
743-mica-p2-l1.jpeg,1,0.149,0.149,4.72,254.877,
743-mica-p2-l2,1,0.162,0.162,1.125,255,
743-mica-p2-l3,1,0.157,0.157,1.089,254.65,
743-mica-p3-l1,1,0.193,0.193,1.41,255,
743-mica-p3-l2,1,0.202,0.202,1.481,255,
743-mica-p3-l3,1,0.205,0.205,1.503,254.955,
753-eupe-p1-l1,1,0.808,0.808,4.392,255,
753-eupe-p1-l2,1,0.936,0.936,5.093,254.985,
753-eupe-p1-l3,1,0.759,0.759,4.129,255,
753-eupe-p2-l1,1,0.761,0.761,3.931,255,
753-eupe-p2-l2,1,0.923,0.923,4.771,255,
753-eupe-p2-l3,1,0.543,0.543,2.808,255,
753-eupe-p3-l1,1,0.524,0.524,2.022,255,
753-eupe-p3-l2,1,0.769,0.769,2.967,254.97,
753-eupe-p3-l3,1,0.651,0.651,2.513,255,
753-eupe-p4-l1,1,0.722,0.722,5.269,254.968,
753-eupe-p4-l2,1,0.557,0.557,4.061,255,
753-eupe-p4-l3,1,0.723,0.723,5.273,254.994,
753-eupe-p5-l1,1,0.34,0.34,0.962,255,
753-eupe-p5-l2,1,0.646,0.646,1.831,254.965,
753-eupe-p5-l3,1,0.295,0.295,0.835,254.891,
749-laca-p1-l1,1,0.686,0.686,2.036,254.98,
749-laca-p1-l2,1,0.724,0.724,2.149,254.129,
749-laca-p1-l3,1,0.443,0.443,1.315,253.835,
749-laca-p2-l1,1,0.512,0.512,1.463,253.537,
749-laca-p2-l2,2,1.158,0.579,3.306,253.991,
749-laca-p2-l3,2,1.01,0.505,2.884,254.602,
749-laca-p3-l1,1,0.557,0.557,2.466,254.581,
749-laca-p3-l2,1,0.55,0.55,2.437,254.817,
749-laca-p3-l3,1,0.484,0.484,2.145,254.509,
749-laca-p4-l1,2,1.502,0.751,3.721,254.621,
749-laca-p4-l2,1,1.023,1.023,2.534,254.897,
749-laca-p4-l3,1,0.479,0.479,1.186,254.065,
749-laca-p5-l1,1,0.482,0.482,1.597,254.867,
