plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes,height_cm,width1_cm,width2_cm
comp,vuma,1,1,5.4,0.2,0.01239,,,,02-May-2017,,39,10,4
comp,vuma,1,2,4,0.1,0.00732,,,,02-May-2017,,,,
comp,vuma,1,3,3,0.2,0.00917,,,,02-May-2017,,,,
comp,homu,1,1,3.3,0.4,0.01469,,,,02-May-2017,,19,13,13
comp,homu,1,2,3.4,0.4,0.01282,,,,02-May-2017,,,,
comp,homu,1,3,3,0.4,0.01108,,,,02-May-2017,,,,
comp,homu,2,1,5.1,0.5,0.02964,,,,02-May-2017,,35,22,7
comp,homu,2,2,7.6,0.5,0.03473,,,,02-May-2017,,,,
comp,homu,2,3,5.9,0.4,0.0241,,,,02-May-2017,,,,
comp,homu,3,1,4,0.5,0.01954,,,,02-May-2017,,19,18,17
comp,homu,3,2,6.1,0.5,0.00303,,,,02-May-2017,,,,
comp,homu,3,3,4.6,0.5,0.02862,,,,02-May-2017,,,,
comp,homu,4,1,5.5,0.5,0.03158,,,,02-May-2017,,31,25,25
comp,homu,4,2,5.1,0.5,0.02676,,,,02-May-2017,,,,
comp,homu,4,3,6.8,0.5,0.03319,,,,02-May-2017,,,,
comp,homu,5,1,4.6,0.5,0.01935,,,,02-May-2017,,20,10,10
comp,homu,5,2,3.9,0.4,0.01359,,,,02-May-2017,,,,
comp,homu,5,3,3.6,0.4,0.01179,,,,02-May-2017,,,,
comp,lopu,1,1,1.4,1.9,0.01723,,,,02-May-2017,,9,6,2
comp,lopu,1,2,1.4,1.7,0.01333,,,,02-May-2017,,,,
comp,lopu,1,3,1.3,1.7,0.012,,,,02-May-2017,,,,
comp,aghe,1,1,10.4,2.7,0.07722,,,,,,26.5,12,7
comp,aghe,1,2,11.66,3.1,0.11417,,,,,,,,
comp,aghe,1,3,12,2.5,0.17173,,,,,,,,
comp,aghe,2,1,12.8,2.2,0.10409,,,,,half of plant used,35,17,17
comp,aghe,2,2,13,3.5,0.1304,,,,,,,,
comp,aghe,2,3,14,302,0.14192,,,,,,,,
comp,aghe,3,1,10.7,1.7,0.08676,,,,,,28,12,10
comp,aghe,3,2,11.6,1.2,0.09162,,,,,,,,
comp,aghe,3,3,9.4,1.7,0.06462,,,,,,,,
comp,aghe,4,1,11.1,1.4,0.06981,,,,,,30,15,14
comp,aghe,4,2,11.2,1.7,0.08231,,,,,,,,
comp,aghe,4,3,11.1,0.6,0.05954,,,,,,,,
comp,aghe,5,1,10.9,2,0.09923,,,,,,26,10,7
comp,aghe,5,2,10.8,1.8,0.06866,,,,,,,,
comp,aghe,5,3,9.9,2.1,0.05948,,,,,,,,
comp,mepo,1,1,1.7,1.7,0.01906,,,,,,10,10,8
comp,mepo,1,2,1.8,2,0.01809,,,,,,,,
comp,mepo,1,3,2,2,0.02652,,,,,,,,
comp,mepo,2,1,2.7,2.2,0.03101,,,,,,5,15,4
comp,mepo,2,2,1.5,2,0.02737,,,,,,,,
comp,mepo,2,3,2.2,1.7,0.02642,,,,,,,,
comp,mepo,3,1,1.5,1.9,0.03249,,,,,,11,15,20
comp,mepo,3,2,1.5,1.9,0.02822,,,,,,,,
comp,mepo,3,3,1.5,1.9,0.03025,,,,,,,,
comp,mepo,5,1,1.3,1.9,0.01778,,,,,,23,25,8
comp,mepo,5,2,1.5,2.3,0.02586,,,,,,,,
comp,mepo,5,3,1.6,2.2,0.0334,,,,,,,,
comp,eupe,1,1,1,0.4,0.00327,,,,,,12,3,2
comp,eupe,1,2,1.1,0.4,0.00348,,,,,,,,
comp,eupe,1,3,0.9,0.4,0.00326,,,,,,,,
comp,eupe,2,1,1.3,0.9,0.0128,,,,,,12,8,4
comp,eupe,2,2,1.1,0.8,0.00913,,,,,,,,
comp,eupe,2,3,1,0.8,0.00717,,,,,,,,
comp,eupe,3,1,1,0.6,0.0075,,,,,,10,6,5
comp,eupe,3,2,1.5,0.5,0.00922,,,,,,,,
comp,eupe,3,3,1.5,0.6,0.01036,,,,,,,,
comp,eupe,4,1,1.2,0.8,0.00824,,,,,,14,5,5
comp,eupe,4,2,1.5,0.6,0.00946,,,,,,,,
comp,eupe,4,3,1.1,0.8,0.00823,,,,,,,,
comp,eupe,5,1,1.3,0.6,0.00652,,,,,,16,3,4
comp,eupe,5,2,1.2,0.6,0.00682,,,,,,,,
comp,eupe,5,3,1.3,0.5,0.00707,,,,,,,,
comp,laca,1,1,1.7,0.2,0.00681,,,,,,12,4,4
comp,laca,1,2,1.3,0.2,0.00388,,,,,,,,
comp,laca,1,3,1.4,0.2,0.00345,,,,,,,,
comp,laca,2,1,1.8,0.2,0.00885,,,,,,11,4,3
comp,laca,2,2,1.2,0.2,0.00308,,,,,,,,
comp,laca,2,3,1.5,0.2,0.00606,,,,,,,,
comp,lowr,1,1,1.4,1.2,0.02999,,,,,half of plant used,9,17,13
comp,lowr,1,2,1.5,1.5,0.03456,,,,,,,,
comp,lowr,1,3,1.8,1.8,0.04364,,,,,,,,
comp,lowr,2,1,2,1.6,0.05152,,,,,,13,14,10
comp,lowr,2,2,1.8,1.9,0.04662,,,,,,,,
comp,lowr,2,3,1.5,1.2,0.02606,,,,,,,,
comp,lowr,3,1,1.5,1.4,0.04311,,,,,,10,10,4
comp,lowr,3,2,1.3,1.2,0.03678,,,,,,,,
comp,lowr,3,3,1.2,1,0.03016,,,,,,,,
comp,lowr,5,1,1.5,1,0.02545,,,,,,10,8,7
comp,lowr,5,2,1,1,0.0229,,,,,,,,
comp,lowr,5,3,1,1.1,0.02055,,,,,,,,
comp,pler,1,1,5.3,0.3,0.02152,,,,,,10,4,4
comp,pler,1,2,5.7,0.3,0.02868,,,,,,,,
