plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
non_plot,lase,1,1,,,,,,,,10-May-2017,,,,
non_plot,lase,1,2,,,,,,,,10-May-2017,,,,
non_plot,lase,1,3,,,,,,,,10-May-2017,,,,
non_plot,lase,2,1,,,,,,,,10-May-2017,,,,
non_plot,lase,2,2,,,,,,,,10-May-2017,,,,
non_plot,lase,2,3,,,,,,,,10-May-2017,,,,
non_plot,lase,3,1,12,4,0.65016,,,,,10-May-2017,23,22,5,
non_plot,lase,3,2,11,4.3,0.63336,,,,,10-May-2017,,,,
non_plot,lase,3,3,9,4,0.41,,,,,10-May-2017,,,,
non_plot,lase,4,1,,,,,,,,10-May-2017,,,,
non_plot,lase,4,2,,,,,,,,10-May-2017,,,,
non_plot,lase,4,3,,,,,,,,10-May-2017,,,,
non_plot,lase,5,1,8.5,2.1,0.28351,,,,,10-May-2017,23,22,4,
non_plot,lase,5,2,8,2,0.28933,,,,,10-May-2017,,,,
non_plot,lase,5,3,9.1,2.2,0.34009,,,,,10-May-2017,,,,
non_plot,lase,6,1,,,,,,,,10-May-2017,,,,
non_plot,lase,6,2,,,,,,,,10-May-2017,,,,
non_plot,lase,6,3,,,,,,,,10-May-2017,,,,
non_plot,lase,7,1,,,,,,,,10-May-2017,,,,
non_plot,lase,7,2,,,,,,,,10-May-2017,,,,
non_plot,lase,7,3,,,,,,,,10-May-2017,,,,
non_plot,lase,8,1,8,2.2,0.2846,,,,,10-May-2017,18,17,8,only two focal leaves for this plant
non_plot,lase,8,2,9.8,2,0.3344,,,,,10-May-2017,,,,
non_plot,lase,8,3,NA,NA,NA,,,,,10-May-2017,,,,
