plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes,
comp,saco,6,1,4,2.1,0.13874,,,,,,26,19,13,,
comp,saco,6,2,3.9,2.4,0.1437,,,,,,,,,,
comp,saco,6,3,3.8,1.8,0.12124,,,,,,,,,,
comp,saco,5,1,3.1,2,0.10481,,,,,,19,13,7,,
comp,saco,5,2,2.9,1.6,0.07674,,,,,,,,,,
comp,saco,5,3,3.4,2.2,0.11265,,,,,,,,,,
757,ceme,1,1,3.8,0.9,0.05564,,,,,,14,7,8,herbivory damage,
757,ceme,1,2,2.8,0.5,0.03509,,,,,,,,,,
757,ceme,1,3,2,0.4,0.01453,,,,,,,,,,
757,ceme,2,1,2.4,0.5,0.0258,,,,,,9,7,4,,
757,ceme,2,2,2.4,0.5,0.02538,,,,,,,,,,
757,ceme,2,3,2,0.6,0.02033,,,,,,,,,,
757,ceme,3,1,2.8,0.6,0.02787,,,,,,20,26,12,competition plant; using half of plant,
757,ceme,3,2,2.9,0.6,0.02968,,,,,,,,,,
757,ceme,3,3,2.9,0.6,0.03579,,,,,,,,,,
757,ceme,4,1,3.5,0.7,0.04042,,,,,,25,14,6,,
757,ceme,4,2,3.2,0.6,0.03085,,,,,,,,,,
757,ceme,4,3,3.2,0.6,0.03058,,,,,,,,,,
757,ceme,5,1,2.1,0.5,0.01753,,,,,,15.5,10,2,,
757,ceme,5,2,2,0.5,0.01482,,,,,,,,,,
757,ceme,5,3,2.1,0.5,0.01881,,,,,,,,,,
756,heco,1,1,1.5,0.2,0.00611,,,,,,9,5.5,2,no all agb scan- don’t do canopy shape on this,
756,heco,1,2,1.5,0.2,0.00573,,,,,,,,,,
756,heco,1,3,1,0.2,0.00331,,,,,,11,5,5,,
756,heco,2,1,4.4,0.5,0.04725,,,,,,,,,,
756,heco,2,2,5,0.6,0.0616,,,,,,,,,,
756,heco,2,3,5.1,0.6,0.05984,,,,,,,,,,
756,heco,3,1,4,0.2,0.01991,,,,,,12.5,3,3,,
756,heco,3,2,2.2,0.2,0.0112,,,,,,,,,,
756,heco,3,3,2.4,0.3,0.012,,,,,,,,,,
756,ceme,6,1,2.7,0.5,0.02122,,,,,,9.5,3,3,,
756,ceme,6,2,3.5,0.4,0.01961,,,,,,,,,,
756,ceme,6,3,2,0.5,0.018,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, using quarter of plant
