"plot","species","plant_number","total_length_cm","id","datetime"
"non_plot",NA,"dummy",15.0847,"dummy",2017-11-15 11:29:21
"non_plot",NA,"dummy",126.1596,"dummy",2017-11-15 11:51:41
"non_plot",NA,"dummy",115.5295,"dummy",2017-11-15 11:54:25
"non_plot","GAAP","2",102.1455,"GAAP-2",2017-11-15 14:12:59
"non_plot","GAAP","1",79.137,"GAAP-1",2017-11-15 14:41:28
"non_plot","GAAP","4",79.5569,"GAAP-4",2017-11-15 14:48:29
"non_plot","GAAP","5",77.0544,"GAAP-5",2017-11-15 14:55:46
"non_plot","GAAP","6",110.3148,"GAAP-6",2017-11-15 15:07:50
"non_plot","GAAP","7",69.6779,"GAAP-7",2017-11-15 15:15:27
"non_plot","GAAP","7",79.9189,"GAAP-7",2017-11-15 15:20:48
"non_plot","GAAP","8",159.458,"GAAP-8",2017-11-15 15:40:23
"753","AMME","1",69.0893,"plot-753-amme-1",2017-11-15 15:48:37
"non_plot","TOAR","1",404.0766,"TOAR-1",2017-11-16 11:25:38
"non_plot","TOAR","1",374.1865,"TOAR-1",2017-11-16 11:33:14
"non_plot","TOAR","1",432.9208,"TOAR-1",2017-11-16 11:46:00
"non_plot","TOAR","1",731.0554,"TOAR-1",2017-11-16 13:02:23
"non_plot","TOAR","1",689.1975,"TOAR-1",2017-11-16 13:05:35
"non_plot","TOAR","2",264.6847,"TOAR-2",2017-11-16 13:33:19
"non_plot","TOAR","2",287.0496,"TOAR-2",2017-11-16 13:40:00
"non_plot","TOAR","1",564.4111,"TOAR-1",2017-11-17 13:25:09
